"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
6.4,0.01,3,2025-05-03,77,"15",1,"0-130"
7.1,0.025,3,2025-05-03,77,"15",1,"0-130"
7.8,0.05,3,2025-05-03,77,"15",1,"0-130"
9,0.1,3,2025-05-03,77,"15",1,"0-130"
15.8,0.25,3,2025-05-03,77,"15",1,"0-130"
21,0.5,3,2025-05-03,77,"15",1,"0-130"
28.9,0.75,3,2025-05-03,77,"15",1,"0-130"
37.2,0.9,3,2025-05-03,77,"15",1,"0-130"
40.5,0.95,3,2025-05-03,77,"15",1,"0-130"
43.1,0.975,3,2025-05-03,77,"15",1,"0-130"
44.5,0.99,3,2025-05-03,77,"15",1,"0-130"
3.9,0.01,3,2025-05-03,77,"15",1,"0-64"
4.3,0.025,3,2025-05-03,77,"15",1,"0-64"
4.8,0.05,3,2025-05-03,77,"15",1,"0-64"
6.2,0.1,3,2025-05-03,77,"15",1,"0-64"
9.2,0.25,3,2025-05-03,77,"15",1,"0-64"
12,0.5,3,2025-05-03,77,"15",1,"0-64"
16.3,0.75,3,2025-05-03,77,"15",1,"0-64"
21,0.9,3,2025-05-03,77,"15",1,"0-64"
23,0.95,3,2025-05-03,77,"15",1,"0-64"
24.3,0.975,3,2025-05-03,77,"15",1,"0-64"
25,0.99,3,2025-05-03,77,"15",1,"0-64"
2.2,0.01,3,2025-05-03,77,"15",1,"65-130"
2.3,0.025,3,2025-05-03,77,"15",1,"65-130"
2.8,0.05,3,2025-05-03,77,"15",1,"65-130"
3.5,0.1,3,2025-05-03,77,"15",1,"65-130"
6.5,0.25,3,2025-05-03,77,"15",1,"65-130"
9.1,0.5,3,2025-05-03,77,"15",1,"65-130"
12.4,0.75,3,2025-05-03,77,"15",1,"65-130"
16.1,0.9,3,2025-05-03,77,"15",1,"65-130"
17.7,0.95,3,2025-05-03,77,"15",1,"65-130"
18.5,0.975,3,2025-05-03,77,"15",1,"65-130"
19.4,0.99,3,2025-05-03,77,"15",1,"65-130"
11.9,0.01,6,2025-05-03,77,"15",1,"0-130"
14.4,0.025,6,2025-05-03,77,"15",1,"0-130"
15,0.05,6,2025-05-03,77,"15",1,"0-130"
16.9,0.1,6,2025-05-03,77,"15",1,"0-130"
18.8,0.25,6,2025-05-03,77,"15",1,"0-130"
41.1,0.5,6,2025-05-03,77,"15",1,"0-130"
51.3,0.75,6,2025-05-03,77,"15",1,"0-130"
59.3,0.9,6,2025-05-03,77,"15",1,"0-130"
90.4,0.95,6,2025-05-03,77,"15",1,"0-130"
119.4,0.975,6,2025-05-03,77,"15",1,"0-130"
224.8,0.99,6,2025-05-03,77,"15",1,"0-130"
5.8,0.01,6,2025-05-03,77,"15",1,"0-64"
7,0.025,6,2025-05-03,77,"15",1,"0-64"
7.3,0.05,6,2025-05-03,77,"15",1,"0-64"
8.2,0.1,6,2025-05-03,77,"15",1,"0-64"
9.1,0.25,6,2025-05-03,77,"15",1,"0-64"
20,0.5,6,2025-05-03,77,"15",1,"0-64"
24.9,0.75,6,2025-05-03,77,"15",1,"0-64"
28.8,0.9,6,2025-05-03,77,"15",1,"0-64"
43.9,0.95,6,2025-05-03,77,"15",1,"0-64"
58,0.975,6,2025-05-03,77,"15",1,"0-64"
109.2,0.99,6,2025-05-03,77,"15",1,"0-64"
6.1,0.01,6,2025-05-03,77,"15",1,"65-130"
7.4,0.025,6,2025-05-03,77,"15",1,"65-130"
7.7,0.05,6,2025-05-03,77,"15",1,"65-130"
8.7,0.1,6,2025-05-03,77,"15",1,"65-130"
9.6,0.25,6,2025-05-03,77,"15",1,"65-130"
21.1,0.5,6,2025-05-03,77,"15",1,"65-130"
26.3,0.75,6,2025-05-03,77,"15",1,"65-130"
30.5,0.9,6,2025-05-03,77,"15",1,"65-130"
46.5,0.95,6,2025-05-03,77,"15",1,"65-130"
61.4,0.975,6,2025-05-03,77,"15",1,"65-130"
115.5,0.99,6,2025-05-03,77,"15",1,"65-130"
8.298,0.01,7,2025-05-03,77,"15",1,"0-130"
8.72375,0.025,7,2025-05-03,77,"15",1,"0-130"
9.0975,0.05,7,2025-05-03,77,"15",1,"0-130"
10.545,0.1,7,2025-05-03,77,"15",1,"0-130"
16.6375,0.25,7,2025-05-03,77,"15",1,"0-130"
