"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
2.2,0.01,3,2025-05-03,77,"11",1,"0-130"
2.2,0.025,3,2025-05-03,77,"11",1,"0-130"
2.4,0.05,3,2025-05-03,77,"11",1,"0-130"
3.6,0.1,3,2025-05-03,77,"11",1,"0-130"
5.8,0.25,3,2025-05-03,77,"11",1,"0-130"
15,0.5,3,2025-05-03,77,"11",1,"0-130"
23.1,0.75,3,2025-05-03,77,"11",1,"0-130"
29.9,0.9,3,2025-05-03,77,"11",1,"0-130"
32.4,0.95,3,2025-05-03,77,"11",1,"0-130"
33.5,0.975,3,2025-05-03,77,"11",1,"0-130"
36.5,0.99,3,2025-05-03,77,"11",1,"0-130"
1.6,0.01,3,2025-05-03,77,"11",1,"0-64"
1.6,0.025,3,2025-05-03,77,"11",1,"0-64"
1.6,0.05,3,2025-05-03,77,"11",1,"0-64"
2.5,0.1,3,2025-05-03,77,"11",1,"0-64"
4,0.25,3,2025-05-03,77,"11",1,"0-64"
9.4,0.5,3,2025-05-03,77,"11",1,"0-64"
14.3,0.75,3,2025-05-03,77,"11",1,"0-64"
18.5,0.9,3,2025-05-03,77,"11",1,"0-64"
19.8,0.95,3,2025-05-03,77,"11",1,"0-64"
20.5,0.975,3,2025-05-03,77,"11",1,"0-64"
22.6,0.99,3,2025-05-03,77,"11",1,"0-64"
0.6,0.01,3,2025-05-03,77,"11",1,"65-130"
0.6,0.025,3,2025-05-03,77,"11",1,"65-130"
0.7,0.05,3,2025-05-03,77,"11",1,"65-130"
1.1,0.1,3,2025-05-03,77,"11",1,"65-130"
1.8,0.25,3,2025-05-03,77,"11",1,"65-130"
5.6,0.5,3,2025-05-03,77,"11",1,"65-130"
8.6,0.75,3,2025-05-03,77,"11",1,"65-130"
11.3,0.9,3,2025-05-03,77,"11",1,"65-130"
12.6,0.95,3,2025-05-03,77,"11",1,"65-130"
13,0.975,3,2025-05-03,77,"11",1,"65-130"
13.8,0.99,3,2025-05-03,77,"11",1,"65-130"
0.2,0.01,6,2025-05-03,77,"11",1,"0-130"
0.3,0.025,6,2025-05-03,77,"11",1,"0-130"
0.4,0.05,6,2025-05-03,77,"11",1,"0-130"
0.4,0.1,6,2025-05-03,77,"11",1,"0-130"
0.7,0.25,6,2025-05-03,77,"11",1,"0-130"
1.1,0.5,6,2025-05-03,77,"11",1,"0-130"
2.3,0.75,6,2025-05-03,77,"11",1,"0-130"
3.3,0.9,6,2025-05-03,77,"11",1,"0-130"
3.4,0.95,6,2025-05-03,77,"11",1,"0-130"
3.9,0.975,6,2025-05-03,77,"11",1,"0-130"
4.2,0.99,6,2025-05-03,77,"11",1,"0-130"
0.1,0.01,6,2025-05-03,77,"11",1,"0-64"
0.2,0.025,6,2025-05-03,77,"11",1,"0-64"
0.2,0.05,6,2025-05-03,77,"11",1,"0-64"
0.2,0.1,6,2025-05-03,77,"11",1,"0-64"
0.4,0.25,6,2025-05-03,77,"11",1,"0-64"
0.6,0.5,6,2025-05-03,77,"11",1,"0-64"
1.2,0.75,6,2025-05-03,77,"11",1,"0-64"
1.7,0.9,6,2025-05-03,77,"11",1,"0-64"
1.8,0.95,6,2025-05-03,77,"11",1,"0-64"
2.1,0.975,6,2025-05-03,77,"11",1,"0-64"
2.3,0.99,6,2025-05-03,77,"11",1,"0-64"
0.1,0.01,6,2025-05-03,77,"11",1,"65-130"
0.1,0.025,6,2025-05-03,77,"11",1,"65-130"
0.2,0.05,6,2025-05-03,77,"11",1,"65-130"
0.2,0.1,6,2025-05-03,77,"11",1,"65-130"
0.3,0.25,6,2025-05-03,77,"11",1,"65-130"
0.5,0.5,6,2025-05-03,77,"11",1,"65-130"
1.1,0.75,6,2025-05-03,77,"11",1,"65-130"
1.5,0.9,6,2025-05-03,77,"11",1,"65-130"
1.6,0.95,6,2025-05-03,77,"11",1,"65-130"
1.8,0.975,6,2025-05-03,77,"11",1,"65-130"
2,0.99,6,2025-05-03,77,"11",1,"65-130"
1.5,0.01,7,2025-05-03,77,"11",1,"0-130"
1.895,0.025,7,2025-05-03,77,"11",1,"0-130"
2.6,0.05,7,2025-05-03,77,"11",1,"0-130"
3.69,0.1,7,2025-05-03,77,"11",1,"0-130"
5.7,0.25,7,2025-05-03,77,"11",1,"0-130"
9.775,0.5,7,2025-05-03,77,"11",1,"0-130"
16.2625,0.75,7,2025-05-03,77,"11",1,"0-130"
19.98,0.9,7,2025-05-03,77,"11",1,"0-130"
23.365,0.95,7,2025-05-03,77,"11",1,"0-130"
25.615,0.975,7,2025-05-03,77,"11",1,"0-130"
26.6635,0.99,7,2025-05-03,77,"11",1,"0-130"
1.0495,0.01,7,2025-05-03,77,"11",1,"0-64"
1.12375,0.025,7,2025-05-03,77,"11",1,"0-64"
1.3,0.05,7,2025-05-03,77,"11",1,"0-64"
1.95,0.1,7,2025-05-03,77,"11",1,"0-64"
3.2875,0.25,7,2025-05-03,77,"11",1,"0-64"
5.3,0.5,7,2025-05-03,77,"11",1,"0-64"
7.1125,0.75,7,2025-05-03,77,"11",1,"0-64"
8.215,0.9,7,2025-05-03,77,"11",1,"0-64"
10.0075,0.95,7,2025-05-03,77,"11",1,"0-64"
10.98625,0.975,7,2025-05-03,77,"11",1,"0-64"
12.117,0.99,7,2025-05-03,77,"11",1,"0-64"
0.4,0.01,7,2025-05-03,77,"11",1,"65-130"
0.55,0.025,7,2025-05-03,77,"11",1,"65-130"
0.7,0.05,7,2025-05-03,77,"11",1,"65-130"
1.085,0.1,7,2025-05-03,77,"11",1,"65-130"
2.25,0.25,7,2025-05-03,77,"11",1,"65-130"
5.175,0.5,7,2025-05-03,77,"11",1,"65-130"
7.45,0.75,7,2025-05-03,77,"11",1,"65-130"
10.705,0.9,7,2025-05-03,77,"11",1,"65-130"
12.25,0.95,7,2025-05-03,77,"11",1,"65-130"
13.02875,0.975,7,2025-05-03,77,"11",1,"65-130"
13.855,0.99,7,2025-05-03,77,"11",1,"65-130"
1.1217362026,0.01,12,2025-05-03,77,"11",1,"0-130"
1.898136646,0.025,12,2025-05-03,77,"11",1,"0-130"
2.4559173188,0.05,12,2025-05-03,77,"11",1,"0-130"
3.652173913,0.1,12,2025-05-03,77,"11",1,"0-130"
6.0613525297,0.25,12,2025-05-03,77,"11",1,"0-130"
9.8704836184,0.5,12,2025-05-03,77,"11",1,"0-130"
16.4727383042,0.75,12,2025-05-03,77,"11",1,"0-130"
20.2947600334,0.9,12,2025-05-03,77,"11",1,"0-130"
22.6053736038,0.95,12,2025-05-03,77,"11",1,"0-130"
27.2931216526,0.975,12,2025-05-03,77,"11",1,"0-130"
31.1425937857,0.99,12,2025-05-03,77,"11",1,"0-130"
0.5655518395,0.01,12,2025-05-03,77,"11",1,"0-64"
0.9966804979,0.025,12,2025-05-03,77,"11",1,"0-64"
1.4,0.05,12,2025-05-03,77,"11",1,"0-64"
1.8247863248,0.1,12,2025-05-03,77,"11",1,"0-64"
3.0434782609,0.25,12,2025-05-03,77,"11",1,"0-64"
4.8460732984,0.5,12,2025-05-03,77,"11",1,"0-64"
6.9869994268,0.75,12,2025-05-03,77,"11",1,"0-64"
9.5137984843,0.9,12,2025-05-03,77,"11",1,"0-64"
11.6900377326,0.95,12,2025-05-03,77,"11",1,"0-64"
13.81,0.975,12,2025-05-03,77,"11",1,"0-64"
16.601,0.99,12,2025-05-03,77,"11",1,"0-64"
0.3555716353,0.01,12,2025-05-03,77,"11",1,"65-130"
0.5904617625,0.025,12,2025-05-03,77,"11",1,"65-130"
0.7544153499,0.05,12,2025-05-03,77,"11",1,"65-130"
