"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
1937.6,0.01,3,2025-05-03,77,"US",1,"0-130"
2172.8,0.025,3,2025-05-03,77,"US",1,"0-130"
2253,0.05,3,2025-05-03,77,"US",1,"0-130"
2430.3,0.1,3,2025-05-03,77,"US",1,"0-130"
3830.7,0.25,3,2025-05-03,77,"US",1,"0-130"
5395.7,0.5,3,2025-05-03,77,"US",1,"0-130"
7514.5,0.75,3,2025-05-03,77,"US",1,"0-130"
9512.2,0.9,3,2025-05-03,77,"US",1,"0-130"
10683,0.95,3,2025-05-03,77,"US",1,"0-130"
11029.6,0.975,3,2025-05-03,77,"US",1,"0-130"
12398,0.99,3,2025-05-03,77,"US",1,"0-130"
1348.4,0.01,3,2025-05-03,77,"US",1,"0-64"
1500.7,0.025,3,2025-05-03,77,"US",1,"0-64"
1562.2,0.05,3,2025-05-03,77,"US",1,"0-64"
1671.3,0.1,3,2025-05-03,77,"US",1,"0-64"
2491,0.25,3,2025-05-03,77,"US",1,"0-64"
3459.7,0.5,3,2025-05-03,77,"US",1,"0-64"
4731.3,0.75,3,2025-05-03,77,"US",1,"0-64"
5864.5,0.9,3,2025-05-03,77,"US",1,"0-64"
6518.9,0.95,3,2025-05-03,77,"US",1,"0-64"
6718.6,0.975,3,2025-05-03,77,"US",1,"0-64"
7506,0.99,3,2025-05-03,77,"US",1,"0-64"
591.3,0.01,3,2025-05-03,77,"US",1,"65-130"
668.6,0.025,3,2025-05-03,77,"US",1,"65-130"
692.5,0.05,3,2025-05-03,77,"US",1,"65-130"
764.8,0.1,3,2025-05-03,77,"US",1,"65-130"
1343.8,0.25,3,2025-05-03,77,"US",1,"65-130"
1936.3,0.5,3,2025-05-03,77,"US",1,"65-130"
2787.2,0.75,3,2025-05-03,77,"US",1,"65-130"
3653.3,0.9,3,2025-05-03,77,"US",1,"65-130"
4152.3,0.95,3,2025-05-03,77,"US",1,"65-130"
4311.1,0.975,3,2025-05-03,77,"US",1,"65-130"
4892,0.99,3,2025-05-03,77,"US",1,"65-130"
3338.494,0.01,6,2025-05-03,77,"US",1,"0-130"
3376.62,0.025,6,2025-05-03,77,"US",1,"0-130"
3400.935,0.05,6,2025-05-03,77,"US",1,"0-130"
3476.03,0.1,6,2025-05-03,77,"US",1,"0-130"
3761.425,0.25,6,2025-05-03,77,"US",1,"0-130"
4057.25,0.5,6,2025-05-03,77,"US",1,"0-130"
4347.4,0.75,6,2025-05-03,77,"US",1,"0-130"
4635.32,0.9,6,2025-05-03,77,"US",1,"0-130"
4720.31,0.95,6,2025-05-03,77,"US",1,"0-130"
4906.4475,0.975,6,2025-05-03,77,"US",1,"0-130"
5194.357,0.99,6,2025-05-03,77,"US",1,"0-130"
1677.074,0.01,6,2025-05-03,77,"US",1,"0-64"
1693.0375,0.025,6,2025-05-03,77,"US",1,"0-64"
1705.15,0.05,6,2025-05-03,77,"US",1,"0-64"
1742.03,0.1,6,2025-05-03,77,"US",1,"0-64"
1896.075,0.25,6,2025-05-03,77,"US",1,"0-64"
2035.55,0.5,6,2025-05-03,77,"US",1,"0-64"
2186.725,0.75,6,2025-05-03,77,"US",1,"0-64"
2330.92,0.9,6,2025-05-03,77,"US",1,"0-64"
2373.95,0.95,6,2025-05-03,77,"US",1,"0-64"
2461.81,0.975,6,2025-05-03,77,"US",1,"0-64"
2623.905,0.99,6,2025-05-03,77,"US",1,"0-64"
1661.518,0.01,6,2025-05-03,77,"US",1,"65-130"
1681.82,0.025,6,2025-05-03,77,"US",1,"65-130"
1698.665,0.05,6,2025-05-03,77,"US",1,"65-130"
1734.15,0.1,6,2025-05-03,77,"US",1,"65-130"
1865.125,0.25,6,2025-05-03,77,"US",1,"65-130"
2018.8,0.5,6,2025-05-03,77,"US",1,"65-130"
2154.15,0.75,6,2025-05-03,77,"US",1,"65-130"
2301.99,0.9,6,2025-05-03,77,"US",1,"65-130"
2350.54,0.95,6,2025-05-03,77,"US",1,"65-130"
2444.69,0.975,6,2025-05-03,77,"US",1,"65-130"
2570.452,0.99,6,2025-05-03,77,"US",1,"65-130"
4281.838,0.01,7,2025-05-03,77,"US",1,"0-130"
4322.99125,0.025,7,2025-05-03,77,"US",1,"0-130"
4482.3125,0.05,7,2025-05-03,77,"US",1,"0-130"
4635.35,0.1,7,2025-05-03,77,"US",1,"0-130"
4955.0625,0.25,7,2025-05-03,77,"US",1,"0-130"
5524.2,0.5,7,2025-05-03,77,"US",1,"0-130"
6445.85,0.75,7,2025-05-03,77,"US",1,"0-130"
6875.17,0.9,7,2025-05-03,77,"US",1,"0-130"
7292.99,0.95,7,2025-05-03,77,"US",1,"0-130"
7529.185,0.975,7,2025-05-03,77,"US",1,"0-130"
7702.977,0.99,7,2025-05-03,77,"US",1,"0-130"
1493.367,0.01,7,2025-05-03,77,"US",1,"0-64"
1582.2875,0.025,7,2025-05-03,77,"US",1,"0-64"
1622.765,0.05,7,2025-05-03,77,"US",1,"0-64"
