"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
14.1,0.01,3,2025-05-03,77,"20",1,"0-130"
14.3,0.025,3,2025-05-03,77,"20",1,"0-130"
15.1,0.05,3,2025-05-03,77,"20",1,"0-130"
16.1,0.1,3,2025-05-03,77,"20",1,"0-130"
21.8,0.25,3,2025-05-03,77,"20",1,"0-130"
28.7,0.5,3,2025-05-03,77,"20",1,"0-130"
45.6,0.75,3,2025-05-03,77,"20",1,"0-130"
58.8,0.9,3,2025-05-03,77,"20",1,"0-130"
71.4,0.95,3,2025-05-03,77,"20",1,"0-130"
83.1,0.975,3,2025-05-03,77,"20",1,"0-130"
87.2,0.99,3,2025-05-03,77,"20",1,"0-130"
10.1,0.01,3,2025-05-03,77,"20",1,"0-64"
10.2,0.025,3,2025-05-03,77,"20",1,"0-64"
10.7,0.05,3,2025-05-03,77,"20",1,"0-64"
11.5,0.1,3,2025-05-03,77,"20",1,"0-64"
15.5,0.25,3,2025-05-03,77,"20",1,"0-64"
20.4,0.5,3,2025-05-03,77,"20",1,"0-64"
31.6,0.75,3,2025-05-03,77,"20",1,"0-64"
38.4,0.9,3,2025-05-03,77,"20",1,"0-64"
46.1,0.95,3,2025-05-03,77,"20",1,"0-64"
51.7,0.975,3,2025-05-03,77,"20",1,"0-64"
54,0.99,3,2025-05-03,77,"20",1,"0-64"
3.9,0.01,3,2025-05-03,77,"20",1,"65-130"
4.1,0.025,3,2025-05-03,77,"20",1,"65-130"
4.2,0.05,3,2025-05-03,77,"20",1,"65-130"
4.6,0.1,3,2025-05-03,77,"20",1,"65-130"
6.3,0.25,3,2025-05-03,77,"20",1,"65-130"
8.4,0.5,3,2025-05-03,77,"20",1,"65-130"
13.9,0.75,3,2025-05-03,77,"20",1,"65-130"
21.2,0.9,3,2025-05-03,77,"20",1,"65-130"
26.6,0.95,3,2025-05-03,77,"20",1,"65-130"
31.4,0.975,3,2025-05-03,77,"20",1,"65-130"
32.9,0.99,3,2025-05-03,77,"20",1,"65-130"
2,0.01,6,2025-05-03,77,"20",1,"0-130"
2.5,0.025,6,2025-05-03,77,"20",1,"0-130"
2.7,0.05,6,2025-05-03,77,"20",1,"0-130"
3.1,0.1,6,2025-05-03,77,"20",1,"0-130"
4.2,0.25,6,2025-05-03,77,"20",1,"0-130"
6.7,0.5,6,2025-05-03,77,"20",1,"0-130"
8.7,0.75,6,2025-05-03,77,"20",1,"0-130"
22.1,0.9,6,2025-05-03,77,"20",1,"0-130"
26.5,0.95,6,2025-05-03,77,"20",1,"0-130"
34.5,0.975,6,2025-05-03,77,"20",1,"0-130"
37.3,0.99,6,2025-05-03,77,"20",1,"0-130"
1,0.01,6,2025-05-03,77,"20",1,"0-64"
1.2,0.025,6,2025-05-03,77,"20",1,"0-64"
1.4,0.05,6,2025-05-03,77,"20",1,"0-64"
1.6,0.1,6,2025-05-03,77,"20",1,"0-64"
2.1,0.25,6,2025-05-03,77,"20",1,"0-64"
3.3,0.5,6,2025-05-03,77,"20",1,"0-64"
4.3,0.75,6,2025-05-03,77,"20",1,"0-64"
11,0.9,6,2025-05-03,77,"20",1,"0-64"
13.2,0.95,6,2025-05-03,77,"20",1,"0-64"
17.2,0.975,6,2025-05-03,77,"20",1,"0-64"
18.6,0.99,6,2025-05-03,77,"20",1,"0-64"
1,0.01,6,2025-05-03,77,"20",1,"65-130"
1.2,0.025,6,2025-05-03,77,"20",1,"65-130"
1.4,0.05,6,2025-05-03,77,"20",1,"65-130"
1.6,0.1,6,2025-05-03,77,"20",1,"65-130"
2.1,0.25,6,2025-05-03,77,"20",1,"65-130"
3.4,0.5,6,2025-05-03,77,"20",1,"65-130"
4.4,0.75,6,2025-05-03,77,"20",1,"65-130"
11.1,0.9,6,2025-05-03,77,"20",1,"65-130"
13.3,0.95,6,2025-05-03,77,"20",1,"65-130"
17.4,0.975,6,2025-05-03,77,"20",1,"65-130"
18.8,0.99,6,2025-05-03,77,"20",1,"65-130"
12.1465,0.01,7,2025-05-03,77,"20",1,"0-130"
12.2975,0.025,7,2025-05-03,77,"20",1,"0-130"
12.85,0.05,7,2025-05-03,77,"20",1,"0-130"
17.64,0.1,7,2025-05-03,77,"20",1,"0-130"
22.325,0.25,7,2025-05-03,77,"20",1,"0-130"
32.85,0.5,7,2025-05-03,77,"20",1,"0-130"
42,0.75,7,2025-05-03,77,"20",1,"0-130"
45.55,0.9,7,2025-05-03,77,"20",1,"0-130"
47.5,0.95,7,2025-05-03,77,"20",1,"0-130"
49,0.975,7,2025-05-03,77,"20",1,"0-130"
50.5,0.99,7,2025-05-03,77,"20",1,"0-130"
2.4495,0.01,7,2025-05-03,77,"20",1,"0-64"
2.6725,0.025,7,2025-05-03,77,"20",1,"0-64"
3.1375,0.05,7,2025-05-03,77,"20",1,"0-64"
4.38,0.1,7,2025-05-03,77,"20",1,"0-64"
7.5625,0.25,7,2025-05-03,77,"20",1,"0-64"
11.65,0.5,7,2025-05-03,77,"20",1,"0-64"
14,0.75,7,2025-05-03,77,"20",1,"0-64"
16.05,0.9,7,2025-05-03,77,"20",1,"0-64"
17.5,0.95,7,2025-05-03,77,"20",1,"0-64"
19.1,0.975,7,2025-05-03,77,"20",1,"0-64"
20.8,0.99,7,2025-05-03,77,"20",1,"0-64"
5.547,0.01,7,2025-05-03,77,"20",1,"65-130"
6.21625,0.025,7,2025-05-03,77,"20",1,"65-130"
7.3775,0.05,7,2025-05-03,77,"20",1,"65-130"
10.655,0.1,7,2025-05-03,77,"20",1,"65-130"
