"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
3,0.01,3,2025-05-03,77,"23",1,"0-130"
3.2,0.025,3,2025-05-03,77,"23",1,"0-130"
3.4,0.05,3,2025-05-03,77,"23",1,"0-130"
3.8,0.1,3,2025-05-03,77,"23",1,"0-130"
4.6,0.25,3,2025-05-03,77,"23",1,"0-130"
7.4,0.5,3,2025-05-03,77,"23",1,"0-130"
11.7,0.75,3,2025-05-03,77,"23",1,"0-130"
15.7,0.9,3,2025-05-03,77,"23",1,"0-130"
18.3,0.95,3,2025-05-03,77,"23",1,"0-130"
20.9,0.975,3,2025-05-03,77,"23",1,"0-130"
27.8,0.99,3,2025-05-03,77,"23",1,"0-130"
2.2,0.01,3,2025-05-03,77,"23",1,"0-64"
2.3,0.025,3,2025-05-03,77,"23",1,"0-64"
2.5,0.05,3,2025-05-03,77,"23",1,"0-64"
2.7,0.1,3,2025-05-03,77,"23",1,"0-64"
3.2,0.25,3,2025-05-03,77,"23",1,"0-64"
4.9,0.5,3,2025-05-03,77,"23",1,"0-64"
7.8,0.75,3,2025-05-03,77,"23",1,"0-64"
10.1,0.9,3,2025-05-03,77,"23",1,"0-64"
12.2,0.95,3,2025-05-03,77,"23",1,"0-64"
13.4,0.975,3,2025-05-03,77,"23",1,"0-64"
16.3,0.99,3,2025-05-03,77,"23",1,"0-64"
0.7,0.01,3,2025-05-03,77,"23",1,"65-130"
0.9,0.025,3,2025-05-03,77,"23",1,"65-130"
1,0.05,3,2025-05-03,77,"23",1,"65-130"
1.1,0.1,3,2025-05-03,77,"23",1,"65-130"
1.6,0.25,3,2025-05-03,77,"23",1,"65-130"
2.5,0.5,3,2025-05-03,77,"23",1,"65-130"
3.8,0.75,3,2025-05-03,77,"23",1,"65-130"
5.6,0.9,3,2025-05-03,77,"23",1,"65-130"
6.6,0.95,3,2025-05-03,77,"23",1,"65-130"
7,0.975,3,2025-05-03,77,"23",1,"65-130"
11.4,0.99,3,2025-05-03,77,"23",1,"65-130"
0.2,0.01,6,2025-05-03,77,"23",1,"0-130"
0.2,0.025,6,2025-05-03,77,"23",1,"0-130"
0.2,0.05,6,2025-05-03,77,"23",1,"0-130"
0.3,0.1,6,2025-05-03,77,"23",1,"0-130"
0.7,0.25,6,2025-05-03,77,"23",1,"0-130"
0.9,0.5,6,2025-05-03,77,"23",1,"0-130"
1.1,0.75,6,2025-05-03,77,"23",1,"0-130"
1.4,0.9,6,2025-05-03,77,"23",1,"0-130"
1.6,0.95,6,2025-05-03,77,"23",1,"0-130"
1.7,0.975,6,2025-05-03,77,"23",1,"0-130"
1.8,0.99,6,2025-05-03,77,"23",1,"0-130"
0.1,0.01,6,2025-05-03,77,"23",1,"0-64"
0.1,0.025,6,2025-05-03,77,"23",1,"0-64"
0.1,0.05,6,2025-05-03,77,"23",1,"0-64"
0.1,0.1,6,2025-05-03,77,"23",1,"0-64"
