"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
89.5,0.01,3,2025-05-03,77,"13",1,"0-130"
92.7,0.025,3,2025-05-03,77,"13",1,"0-130"
98.3,0.05,3,2025-05-03,77,"13",1,"0-130"
116.5,0.1,3,2025-05-03,77,"13",1,"0-130"
139.1,0.25,3,2025-05-03,77,"13",1,"0-130"
164.9,0.5,3,2025-05-03,77,"13",1,"0-130"
234.5,0.75,3,2025-05-03,77,"13",1,"0-130"
325.8,0.9,3,2025-05-03,77,"13",1,"0-130"
361.8,0.95,3,2025-05-03,77,"13",1,"0-130"
388.6,0.975,3,2025-05-03,77,"13",1,"0-130"
414.7,0.99,3,2025-05-03,77,"13",1,"0-130"
65.3,0.01,3,2025-05-03,77,"13",1,"0-64"
68.2,0.025,3,2025-05-03,77,"13",1,"0-64"
71.7,0.05,3,2025-05-03,77,"13",1,"0-64"
83.8,0.1,3,2025-05-03,77,"13",1,"0-64"
101.2,0.25,3,2025-05-03,77,"13",1,"0-64"
117,0.5,3,2025-05-03,77,"13",1,"0-64"
165.3,0.75,3,2025-05-03,77,"13",1,"0-64"
218.6,0.9,3,2025-05-03,77,"13",1,"0-64"
239.3,0.95,3,2025-05-03,77,"13",1,"0-64"
259.1,0.975,3,2025-05-03,77,"13",1,"0-64"
279.9,0.99,3,2025-05-03,77,"13",1,"0-64"
23.3,0.01,3,2025-05-03,77,"13",1,"65-130"
24.1,0.025,3,2025-05-03,77,"13",1,"65-130"
26.8,0.05,3,2025-05-03,77,"13",1,"65-130"
29.9,0.1,3,2025-05-03,77,"13",1,"65-130"
36.9,0.25,3,2025-05-03,77,"13",1,"65-130"
50.8,0.5,3,2025-05-03,77,"13",1,"65-130"
78.1,0.75,3,2025-05-03,77,"13",1,"65-130"
109.1,0.9,3,2025-05-03,77,"13",1,"65-130"
123.6,0.95,3,2025-05-03,77,"13",1,"65-130"
131.2,0.975,3,2025-05-03,77,"13",1,"65-130"
134.8,0.99,3,2025-05-03,77,"13",1,"65-130"
32.298,0.01,6,2025-05-03,77,"13",1,"0-130"
34.5375,0.025,6,2025-05-03,77,"13",1,"0-130"
35.95,0.05,6,2025-05-03,77,"13",1,"0-130"
40.79,0.1,6,2025-05-03,77,"13",1,"0-130"
56.6,0.25,6,2025-05-03,77,"13",1,"0-130"
144.2,0.5,6,2025-05-03,77,"13",1,"0-130"
206.025,0.75,6,2025-05-03,77,"13",1,"0-130"
225.21,0.9,6,2025-05-03,77,"13",1,"0-130"
235.445,0.95,6,2025-05-03,77,"13",1,"0-130"
239.475,0.975,6,2025-05-03,77,"13",1,"0-130"
241.742,0.99,6,2025-05-03,77,"13",1,"0-130"
17.3,0.01,6,2025-05-03,77,"13",1,"0-64"
18.5425,0.025,6,2025-05-03,77,"13",1,"0-64"
19.275,0.05,6,2025-05-03,77,"13",1,"0-64"
21.9,0.1,6,2025-05-03,77,"13",1,"0-64"
30.425,0.25,6,2025-05-03,77,"13",1,"0-64"
77.5,0.5,6,2025-05-03,77,"13",1,"0-64"
110.725,0.75,6,2025-05-03,77,"13",1,"0-64"
121.01,0.9,6,2025-05-03,77,"13",1,"0-64"
126.525,0.95,6,2025-05-03,77,"13",1,"0-64"
128.6925,0.975,6,2025-05-03,77,"13",1,"0-64"
129.877,0.99,6,2025-05-03,77,"13",1,"0-64"
14.9,0.01,6,2025-05-03,77,"13",1,"65-130"
15.995,0.025,6,2025-05-03,77,"13",1,"65-130"
16.58,0.05,6,2025-05-03,77,"13",1,"65-130"
18.89,0.1,6,2025-05-03,77,"13",1,"65-130"
26.175,0.25,6,2025-05-03,77,"13",1,"65-130"
66.7,0.5,6,2025-05-03,77,"13",1,"65-130"
95.325,0.75,6,2025-05-03,77,"13",1,"65-130"
104.2,0.9,6,2025-05-03,77,"13",1,"65-130"
108.92,0.95,6,2025-05-03,77,"13",1,"65-130"
110.7875,0.975,6,2025-05-03,77,"13",1,"65-130"
111.866,0.99,6,2025-05-03,77,"13",1,"65-130"
82.74,0.01,7,2025-05-03,77,"13",1,"0-130"
85.35125,0.025,7,2025-05-03,77,"13",1,"0-130"
90.26,0.05,7,2025-05-03,77,"13",1,"0-130"
99.81,0.1,7,2025-05-03,77,"13",1,"0-130"
105.9125,0.25,7,2025-05-03,77,"13",1,"0-130"
137.25,0.5,7,2025-05-03,77,"13",1,"0-130"
183.8875,0.75,7,2025-05-03,77,"13",1,"0-130"
210.105,0.9,7,2025-05-03,77,"13",1,"0-130"
216.6225,0.95,7,2025-05-03,77,"13",1,"0-130"
250.74,0.975,7,2025-05-03,77,"13",1,"0-130"
302.475,0.99,7,2025-05-03,77,"13",1,"0-130"
27.15,0.01,7,2025-05-03,77,"13",1,"0-64"
28.00875,0.025,7,2025-05-03,77,"13",1,"0-64"
29.1125,0.05,7,2025-05-03,77,"13",1,"0-64"
32.1,0.1,7,2025-05-03,77,"13",1,"0-64"
37.5625,0.25,7,2025-05-03,77,"13",1,"0-64"
50.825,0.5,7,2025-05-03,77,"13",1,"0-64"
72.15,0.75,7,2025-05-03,77,"13",1,"0-64"
93.71,0.9,7,2025-05-03,77,"13",1,"0-64"
99.3125,0.95,7,2025-05-03,77,"13",1,"0-64"
105.27125,0.975,7,2025-05-03,77,"13",1,"0-64"
121.6865,0.99,7,2025-05-03,77,"13",1,"0-64"
39.798,0.01,7,2025-05-03,77,"13",1,"65-130"
42.195,0.025,7,2025-05-03,77,"13",1,"65-130"
44.8525,0.05,7,2025-05-03,77,"13",1,"65-130"
48.775,0.1,7,2025-05-03,77,"13",1,"65-130"
57.4875,0.25,7,2025-05-03,77,"13",1,"65-130"
71.125,0.5,7,2025-05-03,77,"13",1,"65-130"
91.6625,0.75,7,2025-05-03,77,"13",1,"65-130"
111.5,0.9,7,2025-05-03,77,"13",1,"65-130"
129.77,0.95,7,2025-05-03,77,"13",1,"65-130"
135.625,0.975,7,2025-05-03,77,"13",1,"65-130"
138.905,0.99,7,2025-05-03,77,"13",1,"65-130"
35.2772044076,0.01,12,2025-05-03,77,"13",1,"0-130"
40.8082357357,0.025,12,2025-05-03,77,"13",1,"0-130"
48.907,0.05,12,2025-05-03,77,"13",1,"0-130"
70.4158514816,0.1,12,2025-05-03,77,"13",1,"0-130"
102.2210744907,0.25,12,2025-05-03,77,"13",1,"0-130"
137.6098648603,0.5,12,2025-05-03,77,"13",1,"0-130"
179.1599648706,0.75,12,2025-05-03,77,"13",1,"0-130"
223.6491734896,0.9,12,2025-05-03,77,"13",1,"0-130"
290.4328970965,0.95,12,2025-05-03,77,"13",1,"0-130"
334.6439185198,0.975,12,2025-05-03,77,"13",1,"0-130"
390.5049183651,0.99,12,2025-05-03,77,"13",1,"0-130"
13.31614654,0.01,12,2025-05-03,77,"13",1,"0-64"
16.2136495177,0.025,12,2025-05-03,77,"13",1,"0-64"
18.970175968,0.05,12,2025-05-03,77,"13",1,"0-64"
22.260209502,0.1,12,2025-05-03,77,"13",1,"0-64"
37.6238271486,0.25,12,2025-05-03,77,"13",1,"0-64"
50.7246153058,0.5,12,2025-05-03,77,"13",1,"0-64"
92.5306923947,0.75,12,2025-05-03,77,"13",1,"0-64"
123.8598196279,0.9,12,2025-05-03,77,"13",1,"0-64"
163.2524484588,0.95,12,2025-05-03,77,"13",1,"0-64"
176.9226897435,0.975,12,2025-05-03,77,"13",1,"0-64"
187.3579894247,0.99,12,2025-05-03,77,"13",1,"0-64"
17.042,0.01,12,2025-05-03,77,"13",1,"65-130"
