"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
0.8,0.01,3,2025-05-03,77,"50",1,"0-130"
0.9,0.025,3,2025-05-03,77,"50",1,"0-130"
1,0.05,3,2025-05-03,77,"50",1,"0-130"
1.2,0.1,3,2025-05-03,77,"50",1,"0-130"
1.8,0.25,3,2025-05-03,77,"50",1,"0-130"
4.6,0.5,3,2025-05-03,77,"50",1,"0-130"
9.5,0.75,3,2025-05-03,77,"50",1,"0-130"
15.2,0.9,3,2025-05-03,77,"50",1,"0-130"
23.1,0.95,3,2025-05-03,77,"50",1,"0-130"
26.7,0.975,3,2025-05-03,77,"50",1,"0-130"
27.8,0.99,3,2025-05-03,77,"50",1,"0-130"
0.5,0.01,3,2025-05-03,77,"50",1,"0-64"
0.6,0.025,3,2025-05-03,77,"50",1,"0-64"
0.7,0.05,3,2025-05-03,77,"50",1,"0-64"
0.8,0.1,3,2025-05-03,77,"50",1,"0-64"
1.2,0.25,3,2025-05-03,77,"50",1,"0-64"
2.7,0.5,3,2025-05-03,77,"50",1,"0-64"
5.6,0.75,3,2025-05-03,77,"50",1,"0-64"
8.8,0.9,3,2025-05-03,77,"50",1,"0-64"
13.3,0.95,3,2025-05-03,77,"50",1,"0-64"
15.3,0.975,3,2025-05-03,77,"50",1,"0-64"
15.9,0.99,3,2025-05-03,77,"50",1,"0-64"
0.2,0.01,3,2025-05-03,77,"50",1,"65-130"
0.3,0.025,3,2025-05-03,77,"50",1,"65-130"
0.3,0.05,3,2025-05-03,77,"50",1,"65-130"
0.4,0.1,3,2025-05-03,77,"50",1,"65-130"
0.6,0.25,3,2025-05-03,77,"50",1,"65-130"
1.7,0.5,3,2025-05-03,77,"50",1,"65-130"
3.8,0.75,3,2025-05-03,77,"50",1,"65-130"
6.5,0.9,3,2025-05-03,77,"50",1,"65-130"
10,0.95,3,2025-05-03,77,"50",1,"65-130"
11.4,0.975,3,2025-05-03,77,"50",1,"65-130"
11.9,0.99,3,2025-05-03,77,"50",1,"65-130"
1.7,0.01,6,2025-05-03,77,"50",1,"0-130"
1.8475,0.025,6,2025-05-03,77,"50",1,"0-130"
1.9,0.05,6,2025-05-03,77,"50",1,"0-130"
2,0.1,6,2025-05-03,77,"50",1,"0-130"
3.775,0.25,6,2025-05-03,77,"50",1,"0-130"
12.35,0.5,6,2025-05-03,77,"50",1,"0-130"
14.025,0.75,6,2025-05-03,77,"50",1,"0-130"
15.91,0.9,6,2025-05-03,77,"50",1,"0-130"
16.415,0.95,6,2025-05-03,77,"50",1,"0-130"
17.2525,0.975,6,2025-05-03,77,"50",1,"0-130"
18.006,0.99,6,2025-05-03,77,"50",1,"0-130"
0.8,0.01,6,2025-05-03,77,"50",1,"0-64"
0.8475,0.025,6,2025-05-03,77,"50",1,"0-64"
0.9,0.05,6,2025-05-03,77,"50",1,"0-64"
0.9,0.1,6,2025-05-03,77,"50",1,"0-64"
1.775,0.25,6,2025-05-03,77,"50",1,"0-64"
5.65,0.5,6,2025-05-03,77,"50",1,"0-64"
6.425,0.75,6,2025-05-03,77,"50",1,"0-64"
7.3,0.9,6,2025-05-03,77,"50",1,"0-64"
7.505,0.95,6,2025-05-03,77,"50",1,"0-64"
7.9,0.975,6,2025-05-03,77,"50",1,"0-64"
8.302,0.99,6,2025-05-03,77,"50",1,"0-64"
0.9,0.01,6,2025-05-03,77,"50",1,"65-130"
