"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
3.1,0.01,3,2025-05-03,77,"38",1,"0-130"
3.6,0.025,3,2025-05-03,77,"38",1,"0-130"
4,0.05,3,2025-05-03,77,"38",1,"0-130"
4.8,0.1,3,2025-05-03,77,"38",1,"0-130"
6.1,0.25,3,2025-05-03,77,"38",1,"0-130"
8.8,0.5,3,2025-05-03,77,"38",1,"0-130"
13.5,0.75,3,2025-05-03,77,"38",1,"0-130"
17.4,0.9,3,2025-05-03,77,"38",1,"0-130"
21.8,0.95,3,2025-05-03,77,"38",1,"0-130"
23.2,0.975,3,2025-05-03,77,"38",1,"0-130"
24.8,0.99,3,2025-05-03,77,"38",1,"0-130"
2.3,0.01,3,2025-05-03,77,"38",1,"0-64"
2.6,0.025,3,2025-05-03,77,"38",1,"0-64"
2.8,0.05,3,2025-05-03,77,"38",1,"0-64"
3.4,0.1,3,2025-05-03,77,"38",1,"0-64"
4.2,0.25,3,2025-05-03,77,"38",1,"0-64"
5.9,0.5,3,2025-05-03,77,"38",1,"0-64"
8.4,0.75,3,2025-05-03,77,"38",1,"0-64"
11.6,0.9,3,2025-05-03,77,"38",1,"0-64"
13.1,0.95,3,2025-05-03,77,"38",1,"0-64"
13.8,0.975,3,2025-05-03,77,"38",1,"0-64"
15.5,0.99,3,2025-05-03,77,"38",1,"0-64"
0.8,0.01,3,2025-05-03,77,"38",1,"65-130"
1,0.025,3,2025-05-03,77,"38",1,"65-130"
1.2,0.05,3,2025-05-03,77,"38",1,"65-130"
1.4,0.1,3,2025-05-03,77,"38",1,"65-130"
1.8,0.25,3,2025-05-03,77,"38",1,"65-130"
2.9,0.5,3,2025-05-03,77,"38",1,"65-130"
4.9,0.75,3,2025-05-03,77,"38",1,"65-130"
7.3,0.9,3,2025-05-03,77,"38",1,"65-130"
8.6,0.95,3,2025-05-03,77,"38",1,"65-130"
9.3,0.975,3,2025-05-03,77,"38",1,"65-130"
9.8,0.99,3,2025-05-03,77,"38",1,"65-130"
2.5,0.01,6,2025-05-03,77,"38",1,"0-130"
2.7,0.025,6,2025-05-03,77,"38",1,"0-130"
3.1,0.05,6,2025-05-03,77,"38",1,"0-130"
3.5,0.1,6,2025-05-03,77,"38",1,"0-130"
4.6,0.25,6,2025-05-03,77,"38",1,"0-130"
20.9,0.5,6,2025-05-03,77,"38",1,"0-130"
56.9,0.75,6,2025-05-03,77,"38",1,"0-130"
80.3,0.9,6,2025-05-03,77,"38",1,"0-130"
95.6,0.95,6,2025-05-03,77,"38",1,"0-130"
102.8,0.975,6,2025-05-03,77,"38",1,"0-130"
125.5,0.99,6,2025-05-03,77,"38",1,"0-130"
1.3,0.01,6,2025-05-03,77,"38",1,"0-64"
1.4,0.025,6,2025-05-03,77,"38",1,"0-64"
1.6,0.05,6,2025-05-03,77,"38",1,"0-64"
1.8,0.1,6,2025-05-03,77,"38",1,"0-64"
2.4,0.25,6,2025-05-03,77,"38",1,"0-64"
10.8,0.5,6,2025-05-03,77,"38",1,"0-64"
29.5,0.75,6,2025-05-03,77,"38",1,"0-64"
41.6,0.9,6,2025-05-03,77,"38",1,"0-64"
49.5,0.95,6,2025-05-03,77,"38",1,"0-64"
53.2,0.975,6,2025-05-03,77,"38",1,"0-64"
65,0.99,6,2025-05-03,77,"38",1,"0-64"
1.2,0.01,6,2025-05-03,77,"38",1,"65-130"
1.3,0.025,6,2025-05-03,77,"38",1,"65-130"
1.5,0.05,6,2025-05-03,77,"38",1,"65-130"
1.7,0.1,6,2025-05-03,77,"38",1,"65-130"
2.2,0.25,6,2025-05-03,77,"38",1,"65-130"
10.1,0.5,6,2025-05-03,77,"38",1,"65-130"
27.4,0.75,6,2025-05-03,77,"38",1,"65-130"
38.7,0.9,6,2025-05-03,77,"38",1,"65-130"
46.1,0.95,6,2025-05-03,77,"38",1,"65-130"
49.5,0.975,6,2025-05-03,77,"38",1,"65-130"
60.5,0.99,6,2025-05-03,77,"38",1,"65-130"
