"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
23.1,0.01,3,2025-05-03,77,"40",1,"0-130"
24.4,0.025,3,2025-05-03,77,"40",1,"0-130"
27.4,0.05,3,2025-05-03,77,"40",1,"0-130"
31.1,0.1,3,2025-05-03,77,"40",1,"0-130"
38.3,0.25,3,2025-05-03,77,"40",1,"0-130"
57,0.5,3,2025-05-03,77,"40",1,"0-130"
80.5,0.75,3,2025-05-03,77,"40",1,"0-130"
118.2,0.9,3,2025-05-03,77,"40",1,"0-130"
124.8,0.95,3,2025-05-03,77,"40",1,"0-130"
127.1,0.975,3,2025-05-03,77,"40",1,"0-130"
132,0.99,3,2025-05-03,77,"40",1,"0-130"
15.4,0.01,3,2025-05-03,77,"40",1,"0-64"
16.6,0.025,3,2025-05-03,77,"40",1,"0-64"
18.6,0.05,3,2025-05-03,77,"40",1,"0-64"
20.8,0.1,3,2025-05-03,77,"40",1,"0-64"
25.5,0.25,3,2025-05-03,77,"40",1,"0-64"
38.7,0.5,3,2025-05-03,77,"40",1,"0-64"
52.7,0.75,3,2025-05-03,77,"40",1,"0-64"
72.2,0.9,3,2025-05-03,77,"40",1,"0-64"
77.4,0.95,3,2025-05-03,77,"40",1,"0-64"
78.5,0.975,3,2025-05-03,77,"40",1,"0-64"
80.7,0.99,3,2025-05-03,77,"40",1,"0-64"
7.7,0.01,3,2025-05-03,77,"40",1,"65-130"
8.2,0.025,3,2025-05-03,77,"40",1,"65-130"
8.9,0.05,3,2025-05-03,77,"40",1,"65-130"
9.9,0.1,3,2025-05-03,77,"40",1,"65-130"
12.6,0.25,3,2025-05-03,77,"40",1,"65-130"
18.4,0.5,3,2025-05-03,77,"40",1,"65-130"
28.1,0.75,3,2025-05-03,77,"40",1,"65-130"
45.5,0.9,3,2025-05-03,77,"40",1,"65-130"
47.2,0.95,3,2025-05-03,77,"40",1,"65-130"
49.2,0.975,3,2025-05-03,77,"40",1,"65-130"
50.9,0.99,3,2025-05-03,77,"40",1,"65-130"
39.294,0.01,6,2025-05-03,77,"40",1,"0-130"
39.885,0.025,6,2025-05-03,77,"40",1,"0-130"
