"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
14,0.01,3,2025-05-03,77,"25",1,"0-130"
14.6,0.025,3,2025-05-03,77,"25",1,"0-130"
15.6,0.05,3,2025-05-03,77,"25",1,"0-130"
17.4,0.1,3,2025-05-03,77,"25",1,"0-130"
28,0.25,3,2025-05-03,77,"25",1,"0-130"
75.7,0.5,3,2025-05-03,77,"25",1,"0-130"
248.7,0.75,3,2025-05-03,77,"25",1,"0-130"
358,0.9,3,2025-05-03,77,"25",1,"0-130"
391.9,0.95,3,2025-05-03,77,"25",1,"0-130"
420.4,0.975,3,2025-05-03,77,"25",1,"0-130"
430.7,0.99,3,2025-05-03,77,"25",1,"0-130"
9.7,0.01,3,2025-05-03,77,"25",1,"0-64"
10,0.025,3,2025-05-03,77,"25",1,"0-64"
10.6,0.05,3,2025-05-03,77,"25",1,"0-64"
11.6,0.1,3,2025-05-03,77,"25",1,"0-64"
18,0.25,3,2025-05-03,77,"25",1,"0-64"
47.8,0.5,3,2025-05-03,77,"25",1,"0-64"
146.2,0.75,3,2025-05-03,77,"25",1,"0-64"
204,0.9,3,2025-05-03,77,"25",1,"0-64"
224.4,0.95,3,2025-05-03,77,"25",1,"0-64"
241.8,0.975,3,2025-05-03,77,"25",1,"0-64"
248,0.99,3,2025-05-03,77,"25",1,"0-64"
4,0.01,3,2025-05-03,77,"25",1,"65-130"
4.7,0.025,3,2025-05-03,77,"25",1,"65-130"
5.2,0.05,3,2025-05-03,77,"25",1,"65-130"
5.6,0.1,3,2025-05-03,77,"25",1,"65-130"
10.1,0.25,3,2025-05-03,77,"25",1,"65-130"
27,0.5,3,2025-05-03,77,"25",1,"65-130"
102.5,0.75,3,2025-05-03,77,"25",1,"65-130"
155.6,0.9,3,2025-05-03,77,"25",1,"65-130"
167.7,0.95,3,2025-05-03,77,"25",1,"65-130"
178.2,0.975,3,2025-05-03,77,"25",1,"65-130"
184.7,0.99,3,2025-05-03,77,"25",1,"65-130"
60.864,0.01,6,2025-05-03,77,"25",1,"0-130"
63.6475,0.025,6,2025-05-03,77,"25",1,"0-130"
64.39,0.05,6,2025-05-03,77,"25",1,"0-130"
67.2,0.1,6,2025-05-03,77,"25",1,"0-130"
82.725,0.25,6,2025-05-03,77,"25",1,"0-130"
129.9,0.5,6,2025-05-03,77,"25",1,"0-130"
139,0.75,6,2025-05-03,77,"25",1,"0-130"
148.93,0.9,6,2025-05-03,77,"25",1,"0-130"
158.385,0.95,6,2025-05-03,77,"25",1,"0-130"
165.775,0.975,6,2025-05-03,77,"25",1,"0-130"
349.144,0.99,6,2025-05-03,77,"25",1,"0-130"
29.583,0.01,6,2025-05-03,77,"25",1,"0-64"
30.9475,0.025,6,2025-05-03,77,"25",1,"0-64"
31.295,0.05,6,2025-05-03,77,"25",1,"0-64"
32.7,0.1,6,2025-05-03,77,"25",1,"0-64"
40.225,0.25,6,2025-05-03,77,"25",1,"0-64"
63.15,0.5,6,2025-05-03,77,"25",1,"0-64"
67.6,0.75,6,2025-05-03,77,"25",1,"0-64"
72.41,0.9,6,2025-05-03,77,"25",1,"0-64"
77.035,0.95,6,2025-05-03,77,"25",1,"0-64"
80.5875,0.975,6,2025-05-03,77,"25",1,"0-64"
169.815,0.99,6,2025-05-03,77,"25",1,"0-64"
31.281,0.01,6,2025-05-03,77,"25",1,"65-130"
32.7,0.025,6,2025-05-03,77,"25",1,"65-130"
33.095,0.05,6,2025-05-03,77,"25",1,"65-130"
34.5,0.1,6,2025-05-03,77,"25",1,"65-130"
42.5,0.25,6,2025-05-03,77,"25",1,"65-130"
66.75,0.5,6,2025-05-03,77,"25",1,"65-130"
71.4,0.75,6,2025-05-03,77,"25",1,"65-130"
76.52,0.9,6,2025-05-03,77,"25",1,"65-130"
81.35,0.95,6,2025-05-03,77,"25",1,"65-130"
85.1875,0.975,6,2025-05-03,77,"25",1,"65-130"
179.428,0.99,6,2025-05-03,77,"25",1,"65-130"
63.6265,0.01,7,2025-05-03,77,"25",1,"0-130"
65.45625,0.025,7,2025-05-03,77,"25",1,"0-130"
66.275,0.05,7,2025-05-03,77,"25",1,"0-130"
72.445,0.1,7,2025-05-03,77,"25",1,"0-130"
96.9625,0.25,7,2025-05-03,77,"25",1,"0-130"
131.125,0.5,7,2025-05-03,77,"25",1,"0-130"
146.0125,0.75,7,2025-05-03,77,"25",1,"0-130"
158.365,0.9,7,2025-05-03,77,"25",1,"0-130"
164.2875,0.95,7,2025-05-03,77,"25",1,"0-130"
170.695,0.975,7,2025-05-03,77,"25",1,"0-130"
267.117,0.99,7,2025-05-03,77,"25",1,"0-130"
20.2795,0.01,7,2025-05-03,77,"25",1,"0-64"
