"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
19.1,0.01,3,2025-05-03,77,"24",1,"0-130"
19.5,0.025,3,2025-05-03,77,"24",1,"0-130"
23.4,0.05,3,2025-05-03,77,"24",1,"0-130"
28.5,0.1,3,2025-05-03,77,"24",1,"0-130"
44.9,0.25,3,2025-05-03,77,"24",1,"0-130"
83.3,0.5,3,2025-05-03,77,"24",1,"0-130"
143.4,0.75,3,2025-05-03,77,"24",1,"0-130"
204.8,0.9,3,2025-05-03,77,"24",1,"0-130"
244,0.95,3,2025-05-03,77,"24",1,"0-130"
255.4,0.975,3,2025-05-03,77,"24",1,"0-130"
273.4,0.99,3,2025-05-03,77,"24",1,"0-130"
14,0.01,3,2025-05-03,77,"24",1,"0-64"
14.1,0.025,3,2025-05-03,77,"24",1,"0-64"
16.2,0.05,3,2025-05-03,77,"24",1,"0-64"
19.7,0.1,3,2025-05-03,77,"24",1,"0-64"
30.3,0.25,3,2025-05-03,77,"24",1,"0-64"
55.2,0.5,3,2025-05-03,77,"24",1,"0-64"
88.9,0.75,3,2025-05-03,77,"24",1,"0-64"
127.7,0.9,3,2025-05-03,77,"24",1,"0-64"
151.7,0.95,3,2025-05-03,77,"24",1,"0-64"
158.2,0.975,3,2025-05-03,77,"24",1,"0-64"
166.6,0.99,3,2025-05-03,77,"24",1,"0-64"
5.4,0.01,3,2025-05-03,77,"24",1,"65-130"
5.5,0.025,3,2025-05-03,77,"24",1,"65-130"
6.5,0.05,3,2025-05-03,77,"24",1,"65-130"
8.8,0.1,3,2025-05-03,77,"24",1,"65-130"
14.6,0.25,3,2025-05-03,77,"24",1,"65-130"
28.7,0.5,3,2025-05-03,77,"24",1,"65-130"
55.1,0.75,3,2025-05-03,77,"24",1,"65-130"
78,0.9,3,2025-05-03,77,"24",1,"65-130"
94.5,0.95,3,2025-05-03,77,"24",1,"65-130"
97.2,0.975,3,2025-05-03,77,"24",1,"65-130"
106.8,0.99,3,2025-05-03,77,"24",1,"65-130"
18.2,0.01,6,2025-05-03,77,"24",1,"0-130"
21.1,0.025,6,2025-05-03,77,"24",1,"0-130"
26.5,0.05,6,2025-05-03,77,"24",1,"0-130"
28.1,0.1,6,2025-05-03,77,"24",1,"0-130"
32.3,0.25,6,2025-05-03,77,"24",1,"0-130"
66.9,0.5,6,2025-05-03,77,"24",1,"0-130"
79.2,0.75,6,2025-05-03,77,"24",1,"0-130"
97.3,0.9,6,2025-05-03,77,"24",1,"0-130"
111.7,0.95,6,2025-05-03,77,"24",1,"0-130"
123.2,0.975,6,2025-05-03,77,"24",1,"0-130"
125.6,0.99,6,2025-05-03,77,"24",1,"0-130"
9,0.01,6,2025-05-03,77,"24",1,"0-64"
10.5,0.025,6,2025-05-03,77,"24",1,"0-64"
13.2,0.05,6,2025-05-03,77,"24",1,"0-64"
14,0.1,6,2025-05-03,77,"24",1,"0-64"
16.1,0.25,6,2025-05-03,77,"24",1,"0-64"
33.2,0.5,6,2025-05-03,77,"24",1,"0-64"
39.3,0.75,6,2025-05-03,77,"24",1,"0-64"
48.4,0.9,6,2025-05-03,77,"24",1,"0-64"
55.5,0.95,6,2025-05-03,77,"24",1,"0-64"
61.2,0.975,6,2025-05-03,77,"24",1,"0-64"
62.4,0.99,6,2025-05-03,77,"24",1,"0-64"
9.1,0.01,6,2025-05-03,77,"24",1,"65-130"
10.6,0.025,6,2025-05-03,77,"24",1,"65-130"
13.3,0.05,6,2025-05-03,77,"24",1,"65-130"
14.1,0.1,6,2025-05-03,77,"24",1,"65-130"
16.3,0.25,6,2025-05-03,77,"24",1,"65-130"
33.6,0.5,6,2025-05-03,77,"24",1,"65-130"
39.8,0.75,6,2025-05-03,77,"24",1,"65-130"
49,0.9,6,2025-05-03,77,"24",1,"65-130"
56.2,0.95,6,2025-05-03,77,"24",1,"65-130"
62,0.975,6,2025-05-03,77,"24",1,"65-130"
63.2,0.99,6,2025-05-03,77,"24",1,"65-130"
37.093,0.01,7,2025-05-03,77,"24",1,"0-130"
39.23625,0.025,7,2025-05-03,77,"24",1,"0-130"
43.89,0.05,7,2025-05-03,77,"24",1,"0-130"
47.61,0.1,7,2025-05-03,77,"24",1,"0-130"
56.925,0.25,7,2025-05-03,77,"24",1,"0-130"
77.675,0.5,7,2025-05-03,77,"24",1,"0-130"
106.975,0.75,7,2025-05-03,77,"24",1,"0-130"
127.26,0.9,7,2025-05-03,77,"24",1,"0-130"
136.275,0.95,7,2025-05-03,77,"24",1,"0-130"
142.1,0.975,7,2025-05-03,77,"24",1,"0-130"
147.8,0.99,7,2025-05-03,77,"24",1,"0-130"
11.782,0.01,7,2025-05-03,77,"24",1,"0-64"
12.3,0.025,7,2025-05-03,77,"24",1,"0-64"
14.7,0.05,7,2025-05-03,77,"24",1,"0-64"
16.85,0.1,7,2025-05-03,77,"24",1,"0-64"
19.0375,0.25,7,2025-05-03,77,"24",1,"0-64"
32.6,0.5,7,2025-05-03,77,"24",1,"0-64"
38.65,0.75,7,2025-05-03,77,"24",1,"0-64"
45.2,0.9,7,2025-05-03,77,"24",1,"0-64"
49.985,0.95,7,2025-05-03,77,"24",1,"0-64"
55.2125,0.975,7,2025-05-03,77,"24",1,"0-64"
62.083,0.99,7,2025-05-03,77,"24",1,"0-64"
24.143,0.01,7,2025-05-03,77,"24",1,"65-130"
25.47125,0.025,7,2025-05-03,77,"24",1,"65-130"
29.4375,0.05,7,2025-05-03,77,"24",1,"65-130"
32.395,0.1,7,2025-05-03,77,"24",1,"65-130"
39.1,0.25,7,2025-05-03,77,"24",1,"65-130"
48.475,0.5,7,2025-05-03,77,"24",1,"65-130"
67.8625,0.75,7,2025-05-03,77,"24",1,"65-130"
78.5,0.9,7,2025-05-03,77,"24",1,"65-130"
89.775,0.95,7,2025-05-03,77,"24",1,"65-130"
91.8625,0.975,7,2025-05-03,77,"24",1,"65-130"
96.915,0.99,7,2025-05-03,77,"24",1,"65-130"
19.1567800128,0.01,12,2025-05-03,77,"24",1,"0-130"
24.6392224911,0.025,12,2025-05-03,77,"24",1,"0-130"
28.8257761733,0.05,12,2025-05-03,77,"24",1,"0-130"
39.2801207881,0.1,12,2025-05-03,77,"24",1,"0-130"
63.1552913961,0.25,12,2025-05-03,77,"24",1,"0-130"
80.5135376935,0.5,12,2025-05-03,77,"24",1,"0-130"
104.8262476822,0.75,12,2025-05-03,77,"24",1,"0-130"
137.8386147572,0.9,12,2025-05-03,77,"24",1,"0-130"
154.4052722975,0.95,12,2025-05-03,77,"24",1,"0-130"
180.3840316795,0.975,12,2025-05-03,77,"24",1,"0-130"
220.490674972,0.99,12,2025-05-03,77,"24",1,"0-130"
7.9247133028,0.01,12,2025-05-03,77,"24",1,"0-64"
9.8965018624,0.025,12,2025-05-03,77,"24",1,"0-64"
11.755166306,0.05,12,2025-05-03,77,"24",1,"0-64"
14.2595594266,0.1,12,2025-05-03,77,"24",1,"0-64"
20.8944551734,0.25,12,2025-05-03,77,"24",1,"0-64"
27.9787815802,0.5,12,2025-05-03,77,"24",1,"0-64"
40.4660680381,0.75,12,2025-05-03,77,"24",1,"0-64"
56.5459442993,0.9,12,2025-05-03,77,"24",1,"0-64"
63.5923282783,0.95,12,2025-05-03,77,"24",1,"0-64"
75.7,0.975,12,2025-05-03,77,"24",1,"0-64"
99.132,0.99,12,2025-05-03,77,"24",1,"0-64"
7.0152,0.01,12,2025-05-03,77,"24",1,"65-130"
10.0290930506,0.025,12,2025-05-03,77,"24",1,"65-130"
14.0522177339,0.05,12,2025-05-03,77,"24",1,"65-130"
18.6296701438,0.1,12,2025-05-03,77,"24",1,"65-130"
41.233142924,0.25,12,2025-05-03,77,"24",1,"65-130"
53.7099239945,0.5,12,2025-05-03,77,"24",1,"65-130"
67.3284891845,0.75,12,2025-05-03,77,"24",1,"65-130"
81.1457537924,0.9,12,2025-05-03,77,"24",1,"65-130"
92.5096267191,0.95,12,2025-05-03,77,"24",1,"65-130"
99.3257142857,0.975,12,2025-05-03,77,"24",1,"65-130"
107.993204775,0.99,12,2025-05-03,77,"24",1,"65-130"
13.4095260235,0.01,15,2025-05-03,77,"24",1,"0-130"
19.5085467881,0.025,15,2025-05-03,77,"24",1,"0-130"
27.2755186029,0.05,15,2025-05-03,77,"24",1,"0-130"
35.2009065236,0.1,15,2025-05-03,77,"24",1,"0-130"
63.3015892163,0.25,15,2025-05-03,77,"24",1,"0-130"
80.5135376935,0.5,15,2025-05-03,77,"24",1,"0-130"
114.1054534355,0.75,15,2025-05-03,77,"24",1,"0-130"
140.7806929908,0.9,15,2025-05-03,77,"24",1,"0-130"
167.7364448506,0.95,15,2025-05-03,77,"24",1,"0-130"
204.791506411,0.975,15,2025-05-03,77,"24",1,"0-130"
247.1552528973,0.99,15,2025-05-03,77,"24",1,"0-130"
5.4404018881,0.01,15,2025-05-03,77,"24",1,"0-64"
8.5877184466,0.025,15,2025-05-03,77,"24",1,"0-64"
11.2450626436,0.05,15,2025-05-03,77,"24",1,"0-64"
13.4535855834,0.1,15,2025-05-03,77,"24",1,"0-64"
19.6449517875,0.25,15,2025-05-03,77,"24",1,"0-64"
27.9787815802,0.5,15,2025-05-03,77,"24",1,"0-64"
44.5327781996,0.75,15,2025-05-03,77,"24",1,"0-64"
62.6560798548,0.9,15,2025-05-03,77,"24",1,"0-64"
85.9649038462,0.95,15,2025-05-03,77,"24",1,"0-64"
111.0850700525,0.975,15,2025-05-03,77,"24",1,"0-64"
137.3,0.99,15,2025-05-03,77,"24",1,"0-64"
6.0149606299,0.01,15,2025-05-03,77,"24",1,"65-130"
8.8347938144,0.025,15,2025-05-03,77,"24",1,"65-130"
12.1186008154,0.05,15,2025-05-03,77,"24",1,"65-130"
16.1597019344,0.1,15,2025-05-03,77,"24",1,"65-130"
38.2542631795,0.25,15,2025-05-03,77,"24",1,"65-130"
53.7099239945,0.5,15,2025-05-03,77,"24",1,"65-130"
70.377155134,0.75,15,2025-05-03,77,"24",1,"65-130"
