"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
7.4,0.01,3,2025-05-03,77,"16",1,"0-130"
7.9,0.025,3,2025-05-03,77,"16",1,"0-130"
8.4,0.05,3,2025-05-03,77,"16",1,"0-130"
9.3,0.1,3,2025-05-03,77,"16",1,"0-130"
12.2,0.25,3,2025-05-03,77,"16",1,"0-130"
16.6,0.5,3,2025-05-03,77,"16",1,"0-130"
24.5,0.75,3,2025-05-03,77,"16",1,"0-130"
32.7,0.9,3,2025-05-03,77,"16",1,"0-130"
39.3,0.95,3,2025-05-03,77,"16",1,"0-130"
45.3,0.975,3,2025-05-03,77,"16",1,"0-130"
48.1,0.99,3,2025-05-03,77,"16",1,"0-130"
5.4,0.01,3,2025-05-03,77,"16",1,"0-64"
5.7,0.025,3,2025-05-03,77,"16",1,"0-64"
6.1,0.05,3,2025-05-03,77,"16",1,"0-64"
6.5,0.1,3,2025-05-03,77,"16",1,"0-64"
8.6,0.25,3,2025-05-03,77,"16",1,"0-64"
11.5,0.5,3,2025-05-03,77,"16",1,"0-64"
16.3,0.75,3,2025-05-03,77,"16",1,"0-64"
21,0.9,3,2025-05-03,77,"16",1,"0-64"
24.5,0.95,3,2025-05-03,77,"16",1,"0-64"
29.2,0.975,3,2025-05-03,77,"16",1,"0-64"
30.7,0.99,3,2025-05-03,77,"16",1,"0-64"
1.9,0.01,3,2025-05-03,77,"16",1,"65-130"
2.2,0.025,3,2025-05-03,77,"16",1,"65-130"
2.4,0.05,3,2025-05-03,77,"16",1,"65-130"
2.6,0.1,3,2025-05-03,77,"16",1,"65-130"
3.5,0.25,3,2025-05-03,77,"16",1,"65-130"
5.1,0.5,3,2025-05-03,77,"16",1,"65-130"
8.6,0.75,3,2025-05-03,77,"16",1,"65-130"
11.9,0.9,3,2025-05-03,77,"16",1,"65-130"
14.5,0.95,3,2025-05-03,77,"16",1,"65-130"
16.3,0.975,3,2025-05-03,77,"16",1,"65-130"
18.1,0.99,3,2025-05-03,77,"16",1,"65-130"
6.082,0.01,6,2025-05-03,77,"16",1,"0-130"
6.4425,0.025,6,2025-05-03,77,"16",1,"0-130"
6.895,0.05,6,2025-05-03,77,"16",1,"0-130"
8.89,0.1,6,2025-05-03,77,"16",1,"0-130"
9.9,0.25,6,2025-05-03,77,"16",1,"0-130"
11.2,0.5,6,2025-05-03,77,"16",1,"0-130"
13.625,0.75,6,2025-05-03,77,"16",1,"0-130"
24.3,0.9,6,2025-05-03,77,"16",1,"0-130"
24.73,0.95,6,2025-05-03,77,"16",1,"0-130"
25.8775,0.975,6,2025-05-03,77,"16",1,"0-130"
27.801,0.99,6,2025-05-03,77,"16",1,"0-130"
3.091,0.01,6,2025-05-03,77,"16",1,"0-64"
3.3475,0.025,6,2025-05-03,77,"16",1,"0-64"
3.595,0.05,6,2025-05-03,77,"16",1,"0-64"
4.59,0.1,6,2025-05-03,77,"16",1,"0-64"
5.1,0.25,6,2025-05-03,77,"16",1,"0-64"
5.8,0.5,6,2025-05-03,77,"16",1,"0-64"
7.025,0.75,6,2025-05-03,77,"16",1,"0-64"
12.5,0.9,6,2025-05-03,77,"16",1,"0-64"
12.715,0.95,6,2025-05-03,77,"16",1,"0-64"
13.3625,0.975,6,2025-05-03,77,"16",1,"0-64"
14.301,0.99,6,2025-05-03,77,"16",1,"0-64"
2.892,0.01,6,2025-05-03,77,"16",1,"65-130"
3.1475,0.025,6,2025-05-03,77,"16",1,"65-130"
3.3,0.05,6,2025-05-03,77,"16",1,"65-130"
4.3,0.1,6,2025-05-03,77,"16",1,"65-130"
4.8,0.25,6,2025-05-03,77,"16",1,"65-130"
5.4,0.5,6,2025-05-03,77,"16",1,"65-130"
6.6,0.75,6,2025-05-03,77,"16",1,"65-130"
11.8,0.9,6,2025-05-03,77,"16",1,"65-130"
12.015,0.95,6,2025-05-03,77,"16",1,"65-130"
12.5625,0.975,6,2025-05-03,77,"16",1,"65-130"
13.5,0.99,6,2025-05-03,77,"16",1,"65-130"
6.741,0.01,7,2025-05-03,77,"16",1,"0-130"
7.17125,0.025,7,2025-05-03,77,"16",1,"0-130"
7.6475,0.05,7,2025-05-03,77,"16",1,"0-130"
9.095,0.1,7,2025-05-03,77,"16",1,"0-130"
12.15,0.25,7,2025-05-03,77,"16",1,"0-130"
16.4,0.5,7,2025-05-03,77,"16",1,"0-130"
20.05,0.75,7,2025-05-03,77,"16",1,"0-130"
25,0.9,7,2025-05-03,77,"16",1,"0-130"
28.885,0.95,7,2025-05-03,77,"16",1,"0-130"
34.00125,0.975,7,2025-05-03,77,"16",1,"0-130"
37.9505,0.99,7,2025-05-03,77,"16",1,"0-130"
3.5455,0.01,7,2025-05-03,77,"16",1,"0-64"
3.91125,0.025,7,2025-05-03,77,"16",1,"0-64"
4.2975,0.05,7,2025-05-03,77,"16",1,"0-64"
4.795,0.1,7,2025-05-03,77,"16",1,"0-64"
5.4,0.25,7,2025-05-03,77,"16",1,"0-64"
6.4,0.5,7,2025-05-03,77,"16",1,"0-64"
7.0125,0.75,7,2025-05-03,77,"16",1,"0-64"
10.25,0.9,7,2025-05-03,77,"16",1,"0-64"
10.7625,0.95,7,2025-05-03,77,"16",1,"0-64"
12.29125,0.975,7,2025-05-03,77,"16",1,"0-64"
14.7385,0.99,7,2025-05-03,77,"16",1,"0-64"
2.793,0.01,7,2025-05-03,77,"16",1,"65-130"
2.99625,0.025,7,2025-05-03,77,"16",1,"65-130"
3.3425,0.05,7,2025-05-03,77,"16",1,"65-130"
4.25,0.1,7,2025-05-03,77,"16",1,"65-130"
6.3625,0.25,7,2025-05-03,77,"16",1,"65-130"
