"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
46.5,0.01,3,2025-05-03,77,"01",1,"0-130"
48.9,0.025,3,2025-05-03,77,"01",1,"0-130"
63.7,0.05,3,2025-05-03,77,"01",1,"0-130"
66.6,0.1,3,2025-05-03,77,"01",1,"0-130"
83.1,0.25,3,2025-05-03,77,"01",1,"0-130"
105.5,0.5,3,2025-05-03,77,"01",1,"0-130"
152.7,0.75,3,2025-05-03,77,"01",1,"0-130"
175.6,0.9,3,2025-05-03,77,"01",1,"0-130"
198.9,0.95,3,2025-05-03,77,"01",1,"0-130"
213.4,0.975,3,2025-05-03,77,"01",1,"0-130"
269.8,0.99,3,2025-05-03,77,"01",1,"0-130"
30.6,0.01,3,2025-05-03,77,"01",1,"0-64"
32.6,0.025,3,2025-05-03,77,"01",1,"0-64"
41.9,0.05,3,2025-05-03,77,"01",1,"0-64"
44.8,0.1,3,2025-05-03,77,"01",1,"0-64"
55.8,0.25,3,2025-05-03,77,"01",1,"0-64"
68.2,0.5,3,2025-05-03,77,"01",1,"0-64"
93,0.75,3,2025-05-03,77,"01",1,"0-64"
111.7,0.9,3,2025-05-03,77,"01",1,"0-64"
121.7,0.95,3,2025-05-03,77,"01",1,"0-64"
131.1,0.975,3,2025-05-03,77,"01",1,"0-64"
163.6,0.99,3,2025-05-03,77,"01",1,"0-64"
15.4,0.01,3,2025-05-03,77,"01",1,"65-130"
16.3,0.025,3,2025-05-03,77,"01",1,"65-130"
20.8,0.05,3,2025-05-03,77,"01",1,"65-130"
22.3,0.1,3,2025-05-03,77,"01",1,"65-130"
27.7,0.25,3,2025-05-03,77,"01",1,"65-130"
36.7,0.5,3,2025-05-03,77,"01",1,"65-130"
53.1,0.75,3,2025-05-03,77,"01",1,"65-130"
65.8,0.9,3,2025-05-03,77,"01",1,"65-130"
78.1,0.95,3,2025-05-03,77,"01",1,"65-130"
82.8,0.975,3,2025-05-03,77,"01",1,"65-130"
105.5,0.99,3,2025-05-03,77,"01",1,"65-130"
29.2,0.01,6,2025-05-03,77,"01",1,"0-130"
29.9,0.025,6,2025-05-03,77,"01",1,"0-130"
31.5,0.05,6,2025-05-03,77,"01",1,"0-130"
32.7,0.1,6,2025-05-03,77,"01",1,"0-130"
36,0.25,6,2025-05-03,77,"01",1,"0-130"
41.3,0.5,6,2025-05-03,77,"01",1,"0-130"
45.2,0.75,6,2025-05-03,77,"01",1,"0-130"
55.4,0.9,6,2025-05-03,77,"01",1,"0-130"
90.3,0.95,6,2025-05-03,77,"01",1,"0-130"
96.9,0.975,6,2025-05-03,77,"01",1,"0-130"
101,0.99,6,2025-05-03,77,"01",1,"0-130"
14.5,0.01,6,2025-05-03,77,"01",1,"0-64"
14.8,0.025,6,2025-05-03,77,"01",1,"0-64"
15.7,0.05,6,2025-05-03,77,"01",1,"0-64"
16.3,0.1,6,2025-05-03,77,"01",1,"0-64"
17.9,0.25,6,2025-05-03,77,"01",1,"0-64"
20.6,0.5,6,2025-05-03,77,"01",1,"0-64"
22.5,0.75,6,2025-05-03,77,"01",1,"0-64"
27.6,0.9,6,2025-05-03,77,"01",1,"0-64"
44.9,0.95,6,2025-05-03,77,"01",1,"0-64"
48.2,0.975,6,2025-05-03,77,"01",1,"0-64"
50.2,0.99,6,2025-05-03,77,"01",1,"0-64"
14.7,0.01,6,2025-05-03,77,"01",1,"65-130"
15,0.025,6,2025-05-03,77,"01",1,"65-130"
15.8,0.05,6,2025-05-03,77,"01",1,"65-130"
16.4,0.1,6,2025-05-03,77,"01",1,"65-130"
18.1,0.25,6,2025-05-03,77,"01",1,"65-130"
20.8,0.5,6,2025-05-03,77,"01",1,"65-130"
22.7,0.75,6,2025-05-03,77,"01",1,"65-130"
27.9,0.9,6,2025-05-03,77,"01",1,"65-130"
45.4,0.95,6,2025-05-03,77,"01",1,"65-130"
48.7,0.975,6,2025-05-03,77,"01",1,"65-130"
50.8,0.99,6,2025-05-03,77,"01",1,"65-130"
51.2795,0.01,7,2025-05-03,77,"01",1,"0-130"
53.575,0.025,7,2025-05-03,77,"01",1,"0-130"
62.6425,0.05,7,2025-05-03,77,"01",1,"0-130"
66.585,0.1,7,2025-05-03,77,"01",1,"0-130"
77.275,0.25,7,2025-05-03,77,"01",1,"0-130"
108.8,0.5,7,2025-05-03,77,"01",1,"0-130"
124.15,0.75,7,2025-05-03,77,"01",1,"0-130"
130.94,0.9,7,2025-05-03,77,"01",1,"0-130"
151.155,0.95,7,2025-05-03,77,"01",1,"0-130"
176.7,0.975,7,2025-05-03,77,"01",1,"0-130"
201,0.99,7,2025-05-03,77,"01",1,"0-130"
20.25,0.01,7,2025-05-03,77,"01",1,"0-64"
20.6375,0.025,7,2025-05-03,77,"01",1,"0-64"
21.35,0.05,7,2025-05-03,77,"01",1,"0-64"
23.1,0.1,7,2025-05-03,77,"01",1,"0-64"
29.975,0.25,7,2025-05-03,77,"01",1,"0-64"
37.5,0.5,7,2025-05-03,77,"01",1,"0-64"
41.6375,0.75,7,2025-05-03,77,"01",1,"0-64"
45.405,0.9,7,2025-05-03,77,"01",1,"0-64"
48.975,0.95,7,2025-05-03,77,"01",1,"0-64"
61.025,0.975,7,2025-05-03,77,"01",1,"0-64"
79.398,0.99,7,2025-05-03,77,"01",1,"0-64"
28.4995,0.01,7,2025-05-03,77,"01",1,"65-130"
31.055,0.025,7,2025-05-03,77,"01",1,"65-130"
33.07,0.05,7,2025-05-03,77,"01",1,"65-130"
37.25,0.1,7,2025-05-03,77,"01",1,"65-130"
45,0.25,7,2025-05-03,77,"01",1,"65-130"
60.225,0.5,7,2025-05-03,77,"01",1,"65-130"
72.075,0.75,7,2025-05-03,77,"01",1,"65-130"
86.32,0.9,7,2025-05-03,77,"01",1,"65-130"
91.125,0.95,7,2025-05-03,77,"01",1,"65-130"
93.54375,0.975,7,2025-05-03,77,"01",1,"65-130"
104.76,0.99,7,2025-05-03,77,"01",1,"65-130"
29.3602803738,0.01,12,2025-05-03,77,"01",1,"0-130"
32.2684587814,0.025,12,2025-05-03,77,"01",1,"0-130"
41.652160414,0.05,12,2025-05-03,77,"01",1,"0-130"
56.3510222452,0.1,12,2025-05-03,77,"01",1,"0-130"
74.8885047116,0.25,12,2025-05-03,77,"01",1,"0-130"
103.1210953681,0.5,12,2025-05-03,77,"01",1,"0-130"
121.7733262491,0.75,12,2025-05-03,77,"01",1,"0-130"
158.4996498844,0.9,12,2025-05-03,77,"01",1,"0-130"
204.9955008168,0.95,12,2025-05-03,77,"01",1,"0-130"
234.7608239604,0.975,12,2025-05-03,77,"01",1,"0-130"
252.2652324648,0.99,12,2025-05-03,77,"01",1,"0-130"
8.9056,0.01,12,2025-05-03,77,"01",1,"0-64"
13.5092155369,0.025,12,2025-05-03,77,"01",1,"0-64"
15.6093133938,0.05,12,2025-05-03,77,"01",1,"0-64"
17.335659371,0.1,12,2025-05-03,77,"01",1,"0-64"
21.6842167833,0.25,12,2025-05-03,77,"01",1,"0-64"
36.3712493174,0.5,12,2025-05-03,77,"01",1,"0-64"
50.1659230095,0.75,12,2025-05-03,77,"01",1,"0-64"
80.9473586555,0.9,12,2025-05-03,77,"01",1,"0-64"
96.8153404049,0.95,12,2025-05-03,77,"01",1,"0-64"
107.4507042254,0.975,12,2025-05-03,77,"01",1,"0-64"
