"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
28.8,0.01,3,2025-05-03,77,"51",1,"0-130"
32.5,0.025,3,2025-05-03,77,"51",1,"0-130"
34,0.05,3,2025-05-03,77,"51",1,"0-130"
35.6,0.1,3,2025-05-03,77,"51",1,"0-130"
51.8,0.25,3,2025-05-03,77,"51",1,"0-130"
84.3,0.5,3,2025-05-03,77,"51",1,"0-130"
168.3,0.75,3,2025-05-03,77,"51",1,"0-130"
221.7,0.9,3,2025-05-03,77,"51",1,"0-130"
267.5,0.95,3,2025-05-03,77,"51",1,"0-130"
293.8,0.975,3,2025-05-03,77,"51",1,"0-130"
344.2,0.99,3,2025-05-03,77,"51",1,"0-130"
20.2,0.01,3,2025-05-03,77,"51",1,"0-64"
22.6,0.025,3,2025-05-03,77,"51",1,"0-64"
24.8,0.05,3,2025-05-03,77,"51",1,"0-64"
25.7,0.1,3,2025-05-03,77,"51",1,"0-64"
36.8,0.25,3,2025-05-03,77,"51",1,"0-64"
58.7,0.5,3,2025-05-03,77,"51",1,"0-64"
108.9,0.75,3,2025-05-03,77,"51",1,"0-64"
137.6,0.9,3,2025-05-03,77,"51",1,"0-64"
165.5,0.95,3,2025-05-03,77,"51",1,"0-64"
185.1,0.975,3,2025-05-03,77,"51",1,"0-64"
214.8,0.99,3,2025-05-03,77,"51",1,"0-64"
8.4,0.01,3,2025-05-03,77,"51",1,"65-130"
9,0.025,3,2025-05-03,77,"51",1,"65-130"
9.2,0.05,3,2025-05-03,77,"51",1,"65-130"
10.1,0.1,3,2025-05-03,77,"51",1,"65-130"
14.9,0.25,3,2025-05-03,77,"51",1,"65-130"
25.1,0.5,3,2025-05-03,77,"51",1,"65-130"
49.9,0.75,3,2025-05-03,77,"51",1,"65-130"
84.5,0.9,3,2025-05-03,77,"51",1,"65-130"
102.3,0.95,3,2025-05-03,77,"51",1,"65-130"
108.9,0.975,3,2025-05-03,77,"51",1,"65-130"
132.1,0.99,3,2025-05-03,77,"51",1,"65-130"
27.7,0.01,6,2025-05-03,77,"51",1,"0-130"
30.2,0.025,6,2025-05-03,77,"51",1,"0-130"
31.9,0.05,6,2025-05-03,77,"51",1,"0-130"
43.6,0.1,6,2025-05-03,77,"51",1,"0-130"
48.6,0.25,6,2025-05-03,77,"51",1,"0-130"
56.9,0.5,6,2025-05-03,77,"51",1,"0-130"
62.7,0.75,6,2025-05-03,77,"51",1,"0-130"
66.9,0.9,6,2025-05-03,77,"51",1,"0-130"
70.3,0.95,6,2025-05-03,77,"51",1,"0-130"
100.9,0.975,6,2025-05-03,77,"51",1,"0-130"
143.4,0.99,6,2025-05-03,77,"51",1,"0-130"
13.8,0.01,6,2025-05-03,77,"51",1,"0-64"
15.1,0.025,6,2025-05-03,77,"51",1,"0-64"
16,0.05,6,2025-05-03,77,"51",1,"0-64"
21.8,0.1,6,2025-05-03,77,"51",1,"0-64"
24.4,0.25,6,2025-05-03,77,"51",1,"0-64"
28.5,0.5,6,2025-05-03,77,"51",1,"0-64"
31.4,0.75,6,2025-05-03,77,"51",1,"0-64"
33.5,0.9,6,2025-05-03,77,"51",1,"0-64"
35.2,0.95,6,2025-05-03,77,"51",1,"0-64"
50.5,0.975,6,2025-05-03,77,"51",1,"0-64"
71.8,0.99,6,2025-05-03,77,"51",1,"0-64"
13.8,0.01,6,2025-05-03,77,"51",1,"65-130"
15.1,0.025,6,2025-05-03,77,"51",1,"65-130"
15.9,0.05,6,2025-05-03,77,"51",1,"65-130"
21.8,0.1,6,2025-05-03,77,"51",1,"65-130"
