"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
51.2,0.01,3,2025-05-03,77,"47",1,"0-130"
52.5,0.025,3,2025-05-03,77,"47",1,"0-130"
57.7,0.05,3,2025-05-03,77,"47",1,"0-130"
67.6,0.1,3,2025-05-03,77,"47",1,"0-130"
88.4,0.25,3,2025-05-03,77,"47",1,"0-130"
122.2,0.5,3,2025-05-03,77,"47",1,"0-130"
152.4,0.75,3,2025-05-03,77,"47",1,"0-130"
198,0.9,3,2025-05-03,77,"47",1,"0-130"
242.9,0.95,3,2025-05-03,77,"47",1,"0-130"
268.4,0.975,3,2025-05-03,77,"47",1,"0-130"
342.5,0.99,3,2025-05-03,77,"47",1,"0-130"
35.1,0.01,3,2025-05-03,77,"47",1,"0-64"
36.5,0.025,3,2025-05-03,77,"47",1,"0-64"
39.6,0.05,3,2025-05-03,77,"47",1,"0-64"
46.1,0.1,3,2025-05-03,77,"47",1,"0-64"
60.7,0.25,3,2025-05-03,77,"47",1,"0-64"
79.8,0.5,3,2025-05-03,77,"47",1,"0-64"
97.4,0.75,3,2025-05-03,77,"47",1,"0-64"
124.5,0.9,3,2025-05-03,77,"47",1,"0-64"
152,0.95,3,2025-05-03,77,"47",1,"0-64"
166.6,0.975,3,2025-05-03,77,"47",1,"0-64"
211.3,0.99,3,2025-05-03,77,"47",1,"0-64"
15.9,0.01,3,2025-05-03,77,"47",1,"65-130"
16,0.025,3,2025-05-03,77,"47",1,"65-130"
18.1,0.05,3,2025-05-03,77,"47",1,"65-130"
21.3,0.1,3,2025-05-03,77,"47",1,"65-130"
28.2,0.25,3,2025-05-03,77,"47",1,"65-130"
40.3,0.5,3,2025-05-03,77,"47",1,"65-130"
53.1,0.75,3,2025-05-03,77,"47",1,"65-130"
73.5,0.9,3,2025-05-03,77,"47",1,"65-130"
90.5,0.95,3,2025-05-03,77,"47",1,"65-130"
101.6,0.975,3,2025-05-03,77,"47",1,"65-130"
129.3,0.99,3,2025-05-03,77,"47",1,"65-130"
20.9,0.01,6,2025-05-03,77,"47",1,"0-130"
24.2,0.025,6,2025-05-03,77,"47",1,"0-130"
26.6,0.05,6,2025-05-03,77,"47",1,"0-130"
34.3,0.1,6,2025-05-03,77,"47",1,"0-130"
52.3,0.25,6,2025-05-03,77,"47",1,"0-130"
62.6,0.5,6,2025-05-03,77,"47",1,"0-130"
77.5,0.75,6,2025-05-03,77,"47",1,"0-130"
86.7,0.9,6,2025-05-03,77,"47",1,"0-130"
90.9,0.95,6,2025-05-03,77,"47",1,"0-130"
93.4,0.975,6,2025-05-03,77,"47",1,"0-130"
128.4,0.99,6,2025-05-03,77,"47",1,"0-130"
10.6,0.01,6,2025-05-03,77,"47",1,"0-64"
12.2,0.025,6,2025-05-03,77,"47",1,"0-64"
13.5,0.05,6,2025-05-03,77,"47",1,"0-64"
17.4,0.1,6,2025-05-03,77,"47",1,"0-64"
26.5,0.25,6,2025-05-03,77,"47",1,"0-64"
31.7,0.5,6,2025-05-03,77,"47",1,"0-64"
39.2,0.75,6,2025-05-03,77,"47",1,"0-64"
43.9,0.9,6,2025-05-03,77,"47",1,"0-64"
46,0.95,6,2025-05-03,77,"47",1,"0-64"
47.3,0.975,6,2025-05-03,77,"47",1,"0-64"
65,0.99,6,2025-05-03,77,"47",1,"0-64"
10.3,0.01,6,2025-05-03,77,"47",1,"65-130"
11.9,0.025,6,2025-05-03,77,"47",1,"65-130"
13.1,0.05,6,2025-05-03,77,"47",1,"65-130"
16.9,0.1,6,2025-05-03,77,"47",1,"65-130"
25.8,0.25,6,2025-05-03,77,"47",1,"65-130"
30.9,0.5,6,2025-05-03,77,"47",1,"65-130"
38.2,0.75,6,2025-05-03,77,"47",1,"65-130"
42.8,0.9,6,2025-05-03,77,"47",1,"65-130"
44.8,0.95,6,2025-05-03,77,"47",1,"65-130"
46.1,0.975,6,2025-05-03,77,"47",1,"65-130"
63.4,0.99,6,2025-05-03,77,"47",1,"65-130"
52.389,0.01,7,2025-05-03,77,"47",1,"0-130"
53.2875,0.025,7,2025-05-03,77,"47",1,"0-130"
56.345,0.05,7,2025-05-03,77,"47",1,"0-130"
61.75,0.1,7,2025-05-03,77,"47",1,"0-130"
76.0875,0.25,7,2025-05-03,77,"47",1,"0-130"
99.125,0.5,7,2025-05-03,77,"47",1,"0-130"
127.05,0.75,7,2025-05-03,77,"47",1,"0-130"
143.67,0.9,7,2025-05-03,77,"47",1,"0-130"
152.035,0.95,7,2025-05-03,77,"47",1,"0-130"
160.7575,0.975,7,2025-05-03,77,"47",1,"0-130"
168.783,0.99,7,2025-05-03,77,"47",1,"0-130"
14.895,0.01,7,2025-05-03,77,"47",1,"0-64"
15.36125,0.025,7,2025-05-03,77,"47",1,"0-64"
16.0475,0.05,7,2025-05-03,77,"47",1,"0-64"
17.695,0.1,7,2025-05-03,77,"47",1,"0-64"
24.2,0.25,7,2025-05-03,77,"47",1,"0-64"
34.85,0.5,7,2025-05-03,77,"47",1,"0-64"
41.1,0.75,7,2025-05-03,77,"47",1,"0-64"
46.5,0.9,7,2025-05-03,77,"47",1,"0-64"
48.525,0.95,7,2025-05-03,77,"47",1,"0-64"
51.56,0.975,7,2025-05-03,77,"47",1,"0-64"
59.808,0.99,7,2025-05-03,77,"47",1,"0-64"
30.7855,0.01,7,2025-05-03,77,"47",1,"65-130"
32.19875,0.025,7,2025-05-03,77,"47",1,"65-130"
34.295,0.05,7,2025-05-03,77,"47",1,"65-130"
37.875,0.1,7,2025-05-03,77,"47",1,"65-130"
47.45,0.25,7,2025-05-03,77,"47",1,"65-130"
59.475,0.5,7,2025-05-03,77,"47",1,"65-130"
78.025,0.75,7,2025-05-03,77,"47",1,"65-130"
87.205,0.9,7,2025-05-03,77,"47",1,"65-130"
96.8,0.95,7,2025-05-03,77,"47",1,"65-130"
103.3,0.975,7,2025-05-03,77,"47",1,"65-130"
117.155,0.99,7,2025-05-03,77,"47",1,"65-130"
28.14,0.01,12,2025-05-03,77,"47",1,"0-130"
38.8285388528,0.025,12,2025-05-03,77,"47",1,"0-130"
50.3569966786,0.05,12,2025-05-03,77,"47",1,"0-130"
56.6231528825,0.1,12,2025-05-03,77,"47",1,"0-130"
72.9939325698,0.25,12,2025-05-03,77,"47",1,"0-130"
92.7274991062,0.5,12,2025-05-03,77,"47",1,"0-130"
126.5376759695,0.75,12,2025-05-03,77,"47",1,"0-130"
159.154162078,0.9,12,2025-05-03,77,"47",1,"0-130"
197.4255319149,0.95,12,2025-05-03,77,"47",1,"0-130"
211.231827112,0.975,12,2025-05-03,77,"47",1,"0-130"
236.3191861536,0.99,12,2025-05-03,77,"47",1,"0-130"
11.7530309453,0.01,12,2025-05-03,77,"47",1,"0-64"
13.4026328358,0.025,12,2025-05-03,77,"47",1,"0-64"
15.7133775567,0.05,12,2025-05-03,77,"47",1,"0-64"
18.1475985941,0.1,12,2025-05-03,77,"47",1,"0-64"
23.1458633372,0.25,12,2025-05-03,77,"47",1,"0-64"
34.8831803265,0.5,12,2025-05-03,77,"47",1,"0-64"
48.7544617541,0.75,12,2025-05-03,77,"47",1,"0-64"
69.9863013699,0.9,12,2025-05-03,77,"47",1,"0-64"
81.4811320755,0.95,12,2025-05-03,77,"47",1,"0-64"
103.1,0.975,12,2025-05-03,77,"47",1,"0-64"
141.602,0.99,12,2025-05-03,77,"47",1,"0-64"
13.86,0.01,12,2025-05-03,77,"47",1,"65-130"
17.5070588235,0.025,12,2025-05-03,77,"47",1,"65-130"
22.95,0.05,12,2025-05-03,77,"47",1,"65-130"
29.0526540875,0.1,12,2025-05-03,77,"47",1,"65-130"
42.3045408157,0.25,12,2025-05-03,77,"47",1,"65-130"
58.5752763649,0.5,12,2025-05-03,77,"47",1,"65-130"
78.7277679253,0.75,12,2025-05-03,77,"47",1,"65-130"
97.5177913706,0.9,12,2025-05-03,77,"47",1,"65-130"
114.0775459821,0.95,12,2025-05-03,77,"47",1,"65-130"
131.0467005076,0.975,12,2025-05-03,77,"47",1,"65-130"
138.1624190065,0.99,12,2025-05-03,77,"47",1,"65-130"
21.5295782168,0.01,15,2025-05-03,77,"47",1,"0-130"
30.3326298157,0.025,15,2025-05-03,77,"47",1,"0-130"
42.1773519941,0.05,15,2025-05-03,77,"47",1,"0-130"
55.1757318916,0.1,15,2025-05-03,77,"47",1,"0-130"
68.092312062,0.25,15,2025-05-03,77,"47",1,"0-130"
92.7274991062,0.5,15,2025-05-03,77,"47",1,"0-130"
138.7581698201,0.75,15,2025-05-03,77,"47",1,"0-130"
186.0794156858,0.9,15,2025-05-03,77,"47",1,"0-130"
207.4063803298,0.95,15,2025-05-03,77,"47",1,"0-130"
242.002364258,0.975,15,2025-05-03,77,"47",1,"0-130"
325.3873532911,0.99,15,2025-05-03,77,"47",1,"0-130"
9.8276481331,0.01,15,2025-05-03,77,"47",1,"0-64"
12.3774607135,0.025,15,2025-05-03,77,"47",1,"0-64"
14.9830722002,0.05,15,2025-05-03,77,"47",1,"0-64"
17.8815433355,0.1,15,2025-05-03,77,"47",1,"0-64"
21.7406350648,0.25,15,2025-05-03,77,"47",1,"0-64"
34.8831803265,0.5,15,2025-05-03,77,"47",1,"0-64"
57.2562914984,0.75,15,2025-05-03,77,"47",1,"0-64"
80.7317006054,0.9,15,2025-05-03,77,"47",1,"0-64"
101.2313253012,0.95,15,2025-05-03,77,"47",1,"0-64"
124.034349866,0.975,15,2025-05-03,77,"47",1,"0-64"
157.4011128878,0.99,15,2025-05-03,77,"47",1,"0-64"
11.3945435282,0.01,15,2025-05-03,77,"47",1,"65-130"
15.5468703185,0.025,15,2025-05-03,77,"47",1,"65-130"
20.3959483377,0.05,15,2025-05-03,77,"47",1,"65-130"
27.2995027239,0.1,15,2025-05-03,77,"47",1,"65-130"
