"value","type_id","model_name","target_end_date","scenario_id","location","horizon","age_group"
28.9,0.01,3,2025-05-03,77,"29",1,"0-130"
30.5,0.025,3,2025-05-03,77,"29",1,"0-130"
31.6,0.05,3,2025-05-03,77,"29",1,"0-130"
33.4,0.1,3,2025-05-03,77,"29",1,"0-130"
39.6,0.25,3,2025-05-03,77,"29",1,"0-130"
66.9,0.5,3,2025-05-03,77,"29",1,"0-130"
150.2,0.75,3,2025-05-03,77,"29",1,"0-130"
185.5,0.9,3,2025-05-03,77,"29",1,"0-130"
275.1,0.95,3,2025-05-03,77,"29",1,"0-130"
312.8,0.975,3,2025-05-03,77,"29",1,"0-130"
323.3,0.99,3,2025-05-03,77,"29",1,"0-130"
19.9,0.01,3,2025-05-03,77,"29",1,"0-64"
21.1,0.025,3,2025-05-03,77,"29",1,"0-64"
21.8,0.05,3,2025-05-03,77,"29",1,"0-64"
23.2,0.1,3,2025-05-03,77,"29",1,"0-64"
27.3,0.25,3,2025-05-03,77,"29",1,"0-64"
44.4,0.5,3,2025-05-03,77,"29",1,"0-64"
94.3,0.75,3,2025-05-03,77,"29",1,"0-64"
114.7,0.9,3,2025-05-03,77,"29",1,"0-64"
166.2,0.95,3,2025-05-03,77,"29",1,"0-64"
191.2,0.975,3,2025-05-03,77,"29",1,"0-64"
196.7,0.99,3,2025-05-03,77,"29",1,"0-64"
8.7,0.01,3,2025-05-03,77,"29",1,"65-130"
9.2,0.025,3,2025-05-03,77,"29",1,"65-130"
9.4,0.05,3,2025-05-03,77,"29",1,"65-130"
9.9,0.1,3,2025-05-03,77,"29",1,"65-130"
12.3,0.25,3,2025-05-03,77,"29",1,"65-130"
21.9,0.5,3,2025-05-03,77,"29",1,"65-130"
53.1,0.75,3,2025-05-03,77,"29",1,"65-130"
71.6,0.9,3,2025-05-03,77,"29",1,"65-130"
108.8,0.95,3,2025-05-03,77,"29",1,"65-130"
122.8,0.975,3,2025-05-03,77,"29",1,"65-130"
126.3,0.99,3,2025-05-03,77,"29",1,"65-130"
15.785,0.01,6,2025-05-03,77,"29",1,"0-130"
16.975,0.025,6,2025-05-03,77,"29",1,"0-130"
